layer,p,coarse_end,volcanic_end,mix_end
1,          -1.0000000E+00,           5.9568080E+01,            5.5531650E-01,          1.9247375E-03
2,           -3.2594203E-02,            1.6862340E+02,             1.1432144E-02,           2.1285842E-04
3,           -3.2594203E-02,            1.6862340E+02,             1.1432144E-02,           2.1285842E-04
4,          -7.4381510E-01,           4.4300940E+01,            1.4498160E+00,          4.2430683E-02
5,          -2.8390651E-02,           4.6446200E+02,            1.6318980E+00,          1.1619453E-02
6,          -4.2683328E-02,           8.8932870E+01,            1.3463040E+01,          7.9707967E-05
