 pp_0000  6398138.220051237 1922675.4736548383 4  9.5619479245467897156329772911931286e-04 
 pp_0001  6401359.987038321 1924043.0326045507 9  9.7957342257092082198066673726088993e-04 
 pp_0002  6404581.754025404 1925410.5915542631 9  1.0753947197272492857650361131049976e-03 
 pp_0003  6407803.521012488 1926778.1505039756 9  1.0237421570799527890255342654768356e-03 
 pp_0004  6411025.287999572 1928145.709453688 9  1.1400268235312103863587918084476769e-03 
 pp_0005  6414247.054986656 1929513.2684034007 9  1.1268372758034799884646615097949507e-03 
 pp_0006  6389840.4780397 1915351.0298186173 9  1.32427121126858391916836232837795251e-03 
 pp_0007  6393062.245026783 1916718.5887683297 5  1.27789867711957999193983503971594473e-03 
 pp_0008  6396284.012013867 1918086.1477180421 4  1.23311952548685538691430885194222355e-03 
 pp_0009  6399505.77900095 1919453.7066677546 4  1.06193793064189362027049945425005717e-03 
 pp_0010  6402727.5459880335 1920821.265617467 9  9.26602513312682726960567425322778945e-04 
 pp_0011  6405949.312975117 1922188.8245671794 9  1.12652430393688982035449441809760174e-03 
 pp_0012  6409171.0799622005 1923556.3835168919 9  1.07155948593954763840840893607264661e-03 
 pp_0013  6412392.846949285 1924923.9424666043 9  9.35172199635329599691491164747958464e-04 
 pp_0014  6415614.613936368 1926291.501416317 9  9.43973003138162442167413690441435392e-04 
 pp_0015  6418836.380923452 1927659.0603660294 9  1.07007417129508126951709101604137686e-03 
 pp_0016  6387986.270002328 1910761.7038818214 9  1.2782311935298855919140859072058447e-03 
 pp_0017  6391208.036989411 1912129.2628315338 9  9.50666538109596779768106777908087679e-04 
 pp_0018  6394429.803976495 1913496.8217812462 5  9.70782594250487688297690525018879271e-04 
 pp_0019  6397651.570963578 1914864.3807309587 4  9.59104680889323341769214792407183268e-04 
 pp_0020  6400873.337950662 1916231.939680671 4  9.12089524368025930493864006365356545e-04 
 pp_0021  6404095.104937745 1917599.4986303835 4  8.92280294999452344532897551943051440e-04 
 pp_0022  6407316.871924829 1918967.057580096 9  8.72781576307997625577272948760310101e-04 
 pp_0023  6410538.638911912 1920334.6165298084 9  1.01687802691677710645312693316100194e-03 
 pp_0024  6413760.405898997 1921702.1754795208 9  8.48929990569132690396425555690029796e-04 
 pp_0025  6416982.17288608 1923069.7344292335 9  1.05538638521886869378607620717502869e-03 
 pp_0026  6420203.939873164 1924437.293378946 9  8.61001336725584283555978704072231267e-04 
 pp_0027  6423425.706860247 1925804.8523286583 9  1.10501951886093300464475319699886313e-03 
