         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT      RURWELLS_IN     RURWELLS_OUT      MNIWELLS_IN     MNIWELLS_OUT           GHB_IN          GHB_OUT           RCH_IN          RCH_OUT           DRT_IN          DRT_OUT           SFR_IN          SFR_OUT          MNW2_IN         MNW2_OUT     FMP_WELLS_IN    FMP_WELLS_OUT       FMP_FNR_IN      FMP_FNR_OUT         IN_OUT  PERCENT_ERROR
1971-03-01T00:00:00    16     1           31.0          486.0     781576.53986     1.7501553E+6              0.0              0.0              0.0        37841.516              0.0      63251.50680       2080.89413              0.0      29217.93808              0.0              0.0      45676.82729     1.3892453E+6     243799.49494    9.1564051E-11    1.1913577E-10              0.0     1.5945765E+6     2.1593463E+6     626738.19339      572.41294      0.0131235
1971-04-01T00:00:00    17     1           30.0          516.0     2.7487152E+6     213927.19321              0.0              0.0              0.0        46642.589              0.0      63251.50680       2220.56241              0.0      29217.93808              0.0              0.0       2762.93714     700295.69771     191563.10253    1.7844609E-10    1.5694464E-10              0.0     3.3049969E+6     551492.53337     211447.10369     2649.39319      0.0656885
1971-05-01T00:00:00    18     1           31.0          547.0     3.6971455E+6     117850.94627              0.0              0.0              0.0        63522.275              0.0      63251.50680       2432.90926              0.0      29217.93808              0.0              0.0        491.67325     916254.65728     138644.53246    1.7066104E-10    2.1362877E-10              0.0     4.6633567E+6     567492.79136     166352.75452      926.65644      0.0177759
1971-06-01T00:00:00    19     1           30.0          577.0     2.2813659E+6     477584.79483              0.0              0.0              0.0        82640.924              0.0      63251.50680       2619.50492              0.0      29217.93808              0.0              0.0        214.28694     349391.33747     106250.62514    1.9308300E-10    1.2588197E-10              0.0     2.0740351E+6     278000.75559     138315.99932     1697.85414      0.0577218
1971-07-01T00:00:00    20     1           31.0          608.0     3.5240809E+6      76192.61070              0.0              0.0              0.0        90848.165              0.0      63251.50680       2817.25460              0.0      29217.93808              0.0              0.0              0.0     663921.00952      73220.09085    1.4232512E-10    2.5669929E-10              0.0     4.1801753E+6     393836.53085     129602.42088      583.58274      0.0126492
1971-08-01T00:00:00    21     1           31.0          639.0     3.4857560E+6      62940.64064              0.0              0.0              0.0        91277.563              0.0      63251.50680       3032.67240              0.0      29217.93808              0.0              0.0              0.0     636197.88435      70641.52491    1.6333209E-10    1.5672529E-10              0.0     4.2322385E+6     485543.61462     119750.01203      351.66156      0.0075790
1971-09-01T00:00:00    22     1           30.0          669.0     2.8630851E+6      52458.26505              0.0              0.0              0.0        85302.024              0.0      63251.50680       3250.04071              0.0      29217.93808              0.0              0.0              0.0     520412.21490      69776.42204    1.6285714E-10    3.2083609E-10              0.0     3.4711375E+6     438161.28613     112514.31366      313.48816      0.0081335
1971-10-01T00:00:00    23     1           31.0          700.0     1.5710260E+6     472411.05308              0.0              0.0              0.0         65453.61              0.0      63251.50680       3467.67671              0.0      29217.93808              0.0              0.0        196.56145     244866.90932      69613.51102    2.5546882E-10    2.8786114E-10              0.0     1.2852970E+6     211491.62463     104883.01693     1036.08122      0.0502808
1971-11-01T00:00:00    24     1           30.0          730.0     759503.92368     3.1646464E+6              0.0              0.0              0.0        46642.589              0.0      63251.50680       3599.00142              0.0      29217.93808              0.0              0.0       4621.21313     1.6370393E+6      75043.24304    1.8903102E-10    2.3716455E-10              0.0              0.0     1.0295576E+6     104779.97031     67.1483188      0.0019413
1971-12-01T00:00:00    25     1           31.0          761.0     266258.16463     6.7556962E+6              0.0              0.0              0.0        37841.516              0.0      63251.50680       3628.00142              0.0      29217.93808              0.0              0.0     270620.60560     3.0407499E+6     123457.91440    1.5686942E-10    1.5880018E-10              0.0              0.0     4.4411045E+6     530633.68446      543.00451      0.0069784
