,Station,date,meas
128,Son0171,1975-02-01,63.030769538879404
129,Son0172,1975-02-01,41.996798049926745
130,Son0174,1975-02-01,17.37377414932251
131,Son0175,1975-02-01,55.83715218200682
132,Son0176,1975-02-01,43.01382805480956
133,Son0177,1975-02-01,14.321588854980469
134,Son0179,1975-02-01,12.98903773503304
135,Son0180,1975-02-01,16.142486546230316
136,Son0183,1975-02-01,862.5647000000015
137,Son0184,1975-02-01,835.3847000000003
138,Son0185,1975-02-01,770.0536000000003
139,Son0186,1975-02-01,492.40219999999937
140,Son0187,1975-02-01,474.6696999999997
141,Son0188,1975-02-01,48.14313575210571
142,Son0189,1975-02-01,5.280876019287108
143,Son0191,1975-02-01,2.8187138074874865
144,Son0192,1975-02-01,396.80599999999953
145,Son0193,1975-02-01,6.633526093387605
146,Son0201,1975-02-01,391.6822999999999
147,Son0224,1975-02-01,194.25390000000004
148,Son0235,1975-02-01,199.36913684082063
149,Son0265,1975-02-01,7.025200913047792
150,Son0267,1975-02-01,7.47343029317856
151,Son0277,1975-02-01,10.131062489700328
152,Son0279,1975-02-01,11.013782349395758
153,Son0286,1975-02-01,7.8620372438907635
154,Son0288,1975-02-01,72.77563499755867
155,Son0315,1975-02-01,28.66161248779296
156,Son0316,1975-02-01,27.07971248779297
157,Son0317,1975-02-01,25.96268062419891
158,Son0318,1975-02-01,25.949180624198917
159,Son0319,1975-02-01,25.92858062419891
160,Son0320,1975-02-01,25.3252916137695
161,Son0321,1975-02-01,12.34672211761476
162,Son0322,1975-02-01,15.88368301448822
163,Son0323,1975-02-01,15.613883014488223
164,Son0324,1975-02-01,15.883583014488222
165,Son0328,1975-02-01,14.340023036193845
166,Son0331,1975-02-01,88.47124411621097
167,Son0332,1975-02-01,33.00060588607787
168,Son0333,1975-02-01,72.57583223876954
169,Son0334,1975-02-01,72.26338223876951
170,Son0335,1975-02-01,100.03562894287114
171,Son0336,1975-02-01,87.98233347778321
172,Son0339,1975-02-01,84.41688139343263
173,Son0340,1975-02-01,74.07321643981933
174,Son0341,1975-02-01,53.88046172180177
175,Son0342,1975-02-01,53.15481172180174
176,Son0343,1975-02-01,55.735246719360376
177,Son0344,1975-02-01,74.37313520812988
178,Son0345,1975-02-01,31.0921276992798
179,Son0347,1975-02-01,436.2350048095704
180,Son0348,1975-02-01,109.6328923156737
181,Son0549,1975-02-01,103.11169327087408
182,Son0550,1975-02-01,88.31526371154787
183,Son0551,1975-02-01,225.69137537841797
184,Son0552,1975-02-01,156.9165281707764
185,Son0553,1975-02-01,116.2342431152344
186,Son0554,1975-02-01,46.73179084777831
187,Son0556,1975-02-01,103.11169327087408
188,Son0557,1975-02-01,88.31526371154787
189,Son0559,1975-02-01,33.67163765563965
190,Son0560,1975-02-01,33.01053765563965
191,Son0561,1975-02-01,13.09298150310516
192,Son0562,1975-02-01,15.08548150310516
193,Son0563,1975-02-01,64.98403299865721
194,Son0564,1975-02-01,28.83204814682007
195,Son0565,1975-02-01,28.617748146820077
196,WRM22-0063_2,1975-02-01,-4.539011820268629
197,WRM23-0004_1,1975-02-01,15.49430871944428
198,WRM23-0005_1,1975-02-01,14.137354753780365
199,WRM23-0009_1,1975-02-01,14.854974276828766
200,Son0001,1975-07-01,641.2590000000002
201,Son0002,1975-07-01,699.4275000000007
202,Son0004,1975-07-01,486.7868999999989
203,Son0005,1975-07-01,471.7839563110355
204,Son0006,1975-07-01,468.5486126220704
205,Son0007,1975-07-01,465.8782563110353
206,Son0008,1975-07-01,466.3502
207,Son0009,1975-07-01,456.9078999999997
208,Son0010,1975-07-01,420.7895071655277
209,Son0011,1975-07-01,404.42288143310543
210,Son0012,1975-07-01,382.21399999999977
211,Son0014,1975-07-01,434.5501257324221
212,Son0016,1975-07-01,407.9116628662105
213,Son0017,1975-07-01,437.6625257324225
214,Son0018,1975-07-01,470.1507703125002
215,Son0021,1975-07-01,520.4713000000005
216,Son0022,1975-07-01,426.6927420166017
