,Station,date,meas
146,Son0201,1975-12-31,386.37668
147,Son0224,1975-12-31,135.61601
148,Son0235,1975-12-31,209.90157
149,Son0265,1975-12-31,5.7666335
150,Son0267,1975-12-31,5.093114
151,Son0277,1975-12-31,4.7696996
152,Son0279,1975-12-31,12.075757
153,Son0286,1975-12-31,1.5695812
154,Son0288,1975-12-31,19.244919
155,Son0315,1975-12-31,17.554653
156,Son0316,1975-12-31,17.554653
157,Son0317,1975-12-31,17.23746
158,Son0318,1975-12-31,17.23746
159,Son0319,1975-12-31,17.23746
160,Son0320,1975-12-31,17.554653
161,Son0321,1975-12-31,9.144185
162,Son0322,1975-12-31,9.124335
163,Son0323,1975-12-31,9.124335
164,Son0324,1975-12-31,9.124335
165,Son0328,1975-12-31,11.203513
166,Son0331,1975-12-31,43.757854
167,Son0332,1975-12-31,72.26544
168,Son0333,1975-12-31,104.248146
169,Son0334,1975-12-31,104.248146
170,Son0335,1975-12-31,100.65527
171,Son0336,1975-12-31,90.21281
172,Son0339,1975-12-31,61.197525
173,Son0340,1975-12-31,49.87292
174,Son0341,1975-12-31,26.28787
175,Son0342,1975-12-31,26.28787
176,Son0343,1975-12-31,26.542398
177,Son0344,1975-12-31,51.99826
178,Son0345,1975-12-31,52.001057
179,Son0347,1975-12-31,402.84424
180,Son0348,1975-12-31,40.01568
181,Son0549,1975-12-31,32.2462
182,Son0550,1975-12-31,32.2462
183,Son0551,1975-12-31,215.63306
184,Son0552,1975-12-31,132.23225
185,Son0553,1975-12-31,47.66449
186,Son0554,1975-12-31,26.792984
187,Son0556,1975-12-31,32.2462
188,Son0557,1975-12-31,32.2462
189,Son0559,1975-12-31,23.666977
190,Son0560,1975-12-31,23.666977
191,Son0561,1975-12-31,-9.383582
192,Son0562,1975-12-31,-9.383582
193,Son0563,1975-12-31,43.44229
194,Son0564,1975-12-31,43.171154
195,Son0565,1975-12-31,43.171154
196,WRM22-0063_2,1975-12-31,-140.97511
197,WRM23-0004_1,1975-12-31,7.893584
198,WRM23-0005_1,1975-12-31,7.8377004
199,WRM23-0009_1,1975-12-31,5.3669257
200,Son0001,1985-12-31,292.8259
201,Son0002,1985-12-31,292.82947
202,Son0004,1985-12-31,414.7275
203,Son0005,1985-12-31,424.8392
204,Son0006,1985-12-31,427.28333
205,Son0007,1985-12-31,427.28333
206,Son0008,1985-12-31,418.90604
207,Son0009,1985-12-31,415.04156
208,Son0010,1985-12-31,403.51855
209,Son0011,1985-12-31,402.2332
210,Son0012,1985-12-31,407.47522
211,Son0014,1985-12-31,401.56232
212,Son0016,1985-12-31,402.8303
213,Son0017,1985-12-31,413.60553
214,Son0018,1985-12-31,507.59485
215,Son0021,1985-12-31,248.71635
216,Son0022,1985-12-31,397.9043
217,Son0023,1985-12-31,399.7461
218,Son0024,1985-12-31,399.06284
219,Son0025,1985-12-31,387.8411
220,Son0027,1985-12-31,403.97287
221,Son0028,1985-12-31,397.405
222,Son0029,1985-12-31,377.5001
223,Son0030,1985-12-31,364.91278
224,Son0031,1985-12-31,349.9153
225,Son0034,1985-12-31,356.77597
226,Son0036,1985-12-31,318.3
227,Son0037,1985-12-31,285.47537
228,Son0038,1985-12-31,338.77957
229,Son0039,1985-12-31,301.81552
230,Son0040,1985-12-31,256.45068
231,Son0041,1985-12-31,259.12564
232,Son0042,1985-12-31,263.20688
233,Son0043,1985-12-31,252.20505
234,Son0044,1985-12-31,238.62915
235,Son0045,1985-12-31,236.98149
236,Son0046,1985-12-31,235.23283
237,Son0047,1985-12-31,386.15793
238,Son0048,1985-12-31,379.5971
239,Son0049,1985-12-31,329.80762
240,Son0050,1985-12-31,313.70718
241,Son0051,1985-12-31,256.58008
242,Son0052,1985-12-31,243.69197
243,Son0053,1985-12-31,319.1703
244,Son0054,1985-12-31,293.687
245,Son0055,1985-12-31,274.22992
246,Son0056,1985-12-31,307.84796
247,Son0057,1985-12-31,271.4339
248,Son0058,1985-12-31,256.36737
249,Son0059,1985-12-31,259.63483
250,Son0060,1985-12-31,274.9136
251,Son0061,1985-12-31,162.71663
252,Son0062,1985-12-31,92.51022
253,Son0063,1985-12-31,76.7407
254,Son0064,1985-12-31,234.26633
255,Son0065,1985-12-31,54.915764
256,Son0066,1985-12-31,56.014256
257,Son0068,1985-12-31,54.915764
258,Son0069,1985-12-31,70.6212
259,Son0070,1985-12-31,51.382122
260,Son0074,1985-12-31,55.612045
261,Son0075,1985-12-31,57.348705
262,Son0076,1985-12-31,43.16742
263,Son0077,1985-12-31,53.883152
264,Son0078,1985-12-31,56.23139
265,Son0080,1985-12-31,51.26134
266,Son0081,1985-12-31,47.360027
267,Son0083,1985-12-31,52.71031
268,Son0084,1985-12-31,51.288956
269,Son0087,1985-12-31,51.880486
270,Son0088,1985-12-31,46.415073
271,Son0089,1985-12-31,45.494957
272,Son0091,1985-12-31,63.42712
