,Station,date,meas
145,Son0193,1975-02-01,-69.56552
146,Son0201,1975-02-01,382.1138
147,Son0224,1975-02-01,166.74007
148,Son0235,1975-02-01,259.00113
149,Son0265,1975-02-01,-1.4088572
150,Son0267,1975-02-01,-7.3096013
151,Son0277,1975-02-01,-0.15061669
152,Son0279,1975-02-01,0.5530546
153,Son0286,1975-02-01,-3.5567338
154,Son0288,1975-02-01,12.172383
155,Son0315,1975-02-01,24.025524
156,Son0316,1975-02-01,24.025524
157,Son0317,1975-02-01,23.592947
158,Son0318,1975-02-01,23.592947
159,Son0319,1975-02-01,23.592947
160,Son0320,1975-02-01,24.025524
161,Son0321,1975-02-01,-3.6560383
162,Son0322,1975-02-01,-3.6695178
163,Son0323,1975-02-01,-3.6695178
164,Son0324,1975-02-01,-3.6695178
165,Son0328,1975-02-01,8.7289095
166,Son0331,1975-02-01,67.541695
167,Son0332,1975-02-01,44.420933
168,Son0333,1975-02-01,56.923203
169,Son0334,1975-02-01,56.923203
170,Son0335,1975-02-01,53.030285
171,Son0336,1975-02-01,54.044945
172,Son0339,1975-02-01,76.47323
173,Son0340,1975-02-01,56.689274
174,Son0341,1975-02-01,21.299957
175,Son0342,1975-02-01,21.299957
176,Son0343,1975-02-01,22.416866
177,Son0344,1975-02-01,73.72956
178,Son0345,1975-02-01,73.73033
179,Son0347,1975-02-01,395.70236
180,Son0348,1975-02-01,56.456528
181,Son0549,1975-02-01,55.35403
182,Son0550,1975-02-01,55.35403
183,Son0551,1975-02-01,225.94716
184,Son0552,1975-02-01,162.8306
185,Son0553,1975-02-01,106.49815
186,Son0554,1975-02-01,33.191647
187,Son0556,1975-02-01,55.35403
188,Son0557,1975-02-01,55.35403
189,Son0559,1975-02-01,14.367241
190,Son0560,1975-02-01,14.367241
191,Son0561,1975-02-01,-23.928839
192,Son0562,1975-02-01,-23.928839
193,Son0563,1975-02-01,33.216263
194,Son0564,1975-02-01,33.874554
195,Son0565,1975-02-01,33.874554
196,WRM22-0063_2,1975-02-01,-210.19987
197,WRM23-0004_1,1975-02-01,-6.157645
198,WRM23-0005_1,1975-02-01,-6.4265437
199,WRM23-0009_1,1975-02-01,-8.293536
200,Son0001,1975-07-01,1020.60974
201,Son0002,1975-07-01,1007.5199
202,Son0004,1975-07-01,412.96545
203,Son0005,1975-07-01,420.97144
