,Station Name,station_no,Site,Easting,Northing,Latitude,Longitude,rasterelevation,slope,Simple_Bou,Complete_B,isostatic,Geol_Krig,Depth,i,j,zone,num_meas
172,Son0339,SCWA_Verano_St_Piezo,SON,6423430.800,1872009.640,38.302,-122.482,99.476,0.475,-0.450,-0.538,-1.031,1,Shallow,116,38,AguaCal,102
173,Son0340,SCWA_Napa_St_Piezo,SON,6425190.688,1869143.743,38.294,-122.476,84.923,0.166,-0.451,-0.556,-1.057,1,Shallow,123,39,CitySon,101
174,Son0341,SCWA_SVHS-MW-01S,SON,6430863.884,1863803.482,38.279,-122.456,59.370,0.238,-0.530,-0.663,-1.239,1,Shallow,137,45,SouthCent,111
175,Son0342,SCWA_SVHS-MW-01D,SON,6430865.072,1863811.488,38.279,-122.456,59.350,0.246,-0.530,-0.663,-1.239,1,Shallow,137,45,SouthCent,107
176,Son0343,SCWA_SVHS-MW-02,SON,6430806.059,1864122.436,38.280,-122.456,61.510,0.109,-0.527,-0.660,-1.229,1,Shallow,136,45,SouthCent,52
177,Son0344,SCWA_CYMW-1a,SON,6421917.704,1871832.505,38.301,-122.487,99.920,0.242,-0.421,-0.506,-1.023,1,Shallow,115,35,AguaCal,90
178,Son0345,SCWA_CYMW-1b,SON,6421917.704,1871832.505,38.301,-122.487,99.920,0.242,-0.421,-0.506,-1.023,1,Deep,115,35,AguaCal,24
179,Son0347,SCWA_Adobe_Canyon-1,SON,6402613.413,1917685.826,38.427,-122.555,448.880,0.087,-0.330,-0.239,-0.254,1,Shallow,16,35,Kenwood,68
180,Son0348,SCWA_Fowler_Creek-1,SON,6417946.201,1866646.563,38.287,-122.501,182.800,0.310,-0.215,-0.289,-0.869,1,Shallow,122,24,AguaCal,85
181,Son0549,SCWA_FC_MW_2s_Old,SON,6420202.177,1866427.322,38.286,-122.493,117.000,1.769,-0.312,-0.403,-1.001,1,Shallow,124,28,AguaCal,7
182,Son0550,SCWA_FC-MW-2d_Old,SON,6420198.168,1866429.164,38.286,-122.493,117.000,1.734,-0.311,-0.403,-1.000,1,Shallow,124,28,AguaCal,8
183,Son0551,SV-J08-06_Arnold,SON,6411243.000,1894300.000,38.363,-122.525,234.910,1.467,0.161,0.174,0.107,1,Shallow,65,33,VOM,9
184,Son0552,SV-J10-02_Madrone,SON,6415853.000,1885987.000,38.340,-122.508,173.660,0.111,-0.027,-0.030,-0.213,1,Shallow,84,35,VOM,9
185,Son0553,SV-K11-02_StLeos,SON,6419716.000,1879858.000,38.323,-122.495,131.520,1.080,-0.379,-0.416,-0.822,1,Shallow,99,37,AguaCal,9
186,Son0554,SV-L14-02_Leveroni,SON,6425896.000,1863194.000,38.277,-122.473,61.960,0.366,-0.446,-0.570,-1.180,1,Shallow,134,36,SouthCent,9
187,Son0556,FC-MW-2s,SON,6420202.177,1866427.322,38.286,-122.493,117.000,1.769,-0.312,-0.403,-1.001,1,Shallow,124,28,AguaCal,65
188,Son0557,FC-MW-2d,SON,6420198.168,1866429.164,38.286,-122.493,117.000,1.734,-0.311,-0.403,-1.000,1,Shallow,124,28,AguaCal,57
189,Son0559,SVDMW-1-293,SON,6436446.804,1865930.888,38.285,-122.436,93.490,0.279,-0.495,-0.614,-1.076,1,Deep,137,57,EastSide,3
190,Son0560,SVDMW-1-435,SON,6436446.804,1865930.888,38.285,-122.436,93.350,0.279,-0.495,-0.614,-1.076,1,Deep,137,57,EastSide,3
191,Son0561,SVDMW-2-271,SON,6442281.672,1856258.564,38.259,-122.416,78.420,0.337,-0.602,-0.748,-1.387,1,Deep,160,60,EastSide,4
192,Son0562,SVDMW-2-375,SON,6442281.672,1856258.564,38.259,-122.416,78.280,0.337,-0.602,-0.748,-1.387,1,Deep,160,60,EastSide,4
193,Son0563,SVDMW-4-110,SON,6420502.971,1860731.894,38.271,-122.492,90.420,0.807,-0.262,-0.358,-1.079,1,Shallow,135,24,WestSide,4
194,Son0564,SVDMW-4-353,SON,6420502.971,1860731.894,38.271,-122.492,90.260,0.807,-0.262,-0.358,-1.079,1,Deep,135,24,WestSide,4
195,Son0565,SVDMW-4-465,SON,6420502.971,1860731.894,38.271,-122.492,90.140,0.807,-0.262,-0.358,-1.079,1,Deep,135,24,WestSide,4
196,WRM22-0063_2,WRM22-0063_2,SON,6433917.305,1822180.838,38.165,-122.444,3.061,2.404,0.279,0.164,-0.659,1,Deep,216,18,Bay,4
197,WRM23-0004_1,WRM23-0004_1,SON,6435502.621,1855690.211,38.257,-122.439,21.894,0.198,-0.540,-0.684,-1.374,1,Deep,156,47,SouthCent,4
198,WRM23-0005_1,WRM23-0005_1,SON,6435999.983,1854496.918,38.254,-122.438,24.052,0.415,-0.534,-0.678,-1.383,1,Deep,158,47,SouthCent,2
199,WRM23-0009_1,WRM23-0009_1,SON,6436318.554,1855788.874,38.257,-122.437,22.000,0.827,-0.554,-0.699,-1.384,1,Deep,156,49,SouthCent,1
