,Station Name,station_no,Site,Easting,Northing,Latitude,Longitude,rasterelevation,slope,Simple_Bou,Complete_B,isostatic,Geol_Krig,Depth,i,j,zone,num_meas
41,Son0051,SV-I12-01,SON,6407588.000,1875075.000,38.310,-122.537,1020.770,4.229,0.128,0.207,-0.178,0,Deep,98,11,Highlands,3
42,Son0052,SV-I13-01,SON,6407050.000,1870188.000,38.296,-122.539,869.450,1.322,0.194,0.266,-0.208,0,Deep,107,6,Highlands,17
43,Son0053,SV-J07-01,SON,6412069.000,1902861.000,38.386,-122.522,358.900,0.496,0.195,0.199,0.269,0,Shallow,50,41,VOM,40
44,Son0054,SV-J07-02,SON,6415448.980,1899776.197,38.378,-122.510,344.860,0.962,0.155,0.197,0.236,0,Deep,59,45,VOM,27
45,Son0055,SV-J07-03,SON,6413378.531,1900329.195,38.379,-122.517,322.300,0.339,0.167,0.186,0.202,0,Shallow,56,42,VOM,76
46,Son0056,SV-J07-04,SON,6412492.048,1902493.918,38.385,-122.520,320.000,0.339,0.198,0.206,0.277,0,Shallow,51,42,VOM,11
47,Son0057,SV-J08-01,SON,6411539.530,1898462.043,38.374,-122.524,278.400,3.441,0.141,0.149,0.088,1,Shallow,58,37,VOM,211
48,Son0058,SV-J08-02,SON,6413710.670,1897108.252,38.370,-122.516,306.610,0.614,0.108,0.130,0.047,1,Shallow,62,40,VOM,53
49,Son0059,SV-J08-03,SON,6414856.124,1898367.749,38.374,-122.512,320.380,0.387,0.120,0.154,0.121,0,Deep,61,43,VOM,19
50,Son0060,SV-J08-05,SON,6411494.726,1897801.664,38.372,-122.524,259.900,3.921,0.139,0.147,0.076,1,Shallow,59,36,VOM,31
51,Son0061,SV-J10-01,SON,6414294.240,1887344.599,38.344,-122.514,195.670,0.907,0.060,0.066,-0.078,1,Shallow,81,33,VOM,18
52,Son0062,SV-J12-05,SON,6414602.356,1876988.391,38.315,-122.513,278.070,1.700,-0.142,-0.153,-0.531,1,Deep,100,26,AguaCal,13
53,Son0063,SV-J12-06,SON,6415334.401,1875148.258,38.310,-122.510,239.000,0.548,-0.175,-0.199,-0.617,1,Deep,104,26,AguaCal,8
54,Son0064,SV-J13-01,SON,6413045.000,1867966.000,38.290,-122.518,291.300,0.900,0.017,-0.003,-0.490,0,Shallow,115,16,Highlands,46
55,Son0065,SV-J13-02,SON,6416178.570,1868858.609,38.293,-122.507,202.400,0.575,-0.150,-0.205,-0.723,1,Deep,116,22,AguaCal,27
56,Son0066,SV-J13-03,SON,6415774.921,1868533.092,38.292,-122.508,210.300,0.706,-0.124,-0.176,-0.691,1,Deep,116,21,AguaCal,29
57,Son0068,SV-J13-05,SON,6416140.000,1868766.000,38.293,-122.507,204.900,0.415,-0.147,-0.202,-0.721,1,Deep,116,22,AguaCal,21
58,Son0069,SV-K11-01,SON,6417811.000,1878537.000,38.319,-122.501,158.400,1.638,-0.298,-0.336,-0.743,1,Shallow,100,33,AguaCal,43
59,Son0070,SV-K13-01,SON,6417921.000,1869793.000,38.295,-122.501,154.960,0.574,-0.249,-0.318,-0.852,1,Shallow,116,26,AguaCal,15
60,Son0074,SV-K13-05,SON,6420331.000,1872368.000,38.302,-122.492,118.300,0.205,-0.377,-0.452,-0.964,1,Shallow,113,33,AguaCal,33
61,Son0075,SV-K13-06,SON,6418583.551,1872997.048,38.304,-122.499,137.100,0.749,-0.312,-0.374,-0.865,1,Shallow,110,30,AguaCal,11
62,Son0076,SV-K13-07,SON,6420713.958,1868942.962,38.293,-122.491,111.200,0.206,-0.353,-0.443,-1.000,1,Shallow,120,31,AguaCal,43
63,Son0077,SV-K13-08,SON,6416811.000,1868964.000,38.293,-122.505,184.100,0.362,-0.185,-0.246,-0.775,1,Deep,116,23,AguaCal,31
64,Son0078,SV-K13-09,SON,6418640.947,1872812.410,38.304,-122.498,138.510,0.297,-0.313,-0.376,-0.871,1,Shallow,111,30,AguaCal,373
65,Son0080,SV-K13-12,SON,6420515.565,1870765.401,38.298,-122.492,110.700,0.300,-0.367,-0.450,-0.985,1,Shallow,116,32,AguaCal,55
66,Son0081,SV-K13-13,SON,6418134.482,1867835.487,38.290,-122.500,158.300,0.430,-0.237,-0.311,-0.874,1,Deep,120,25,AguaCal,37
67,Son0083,SV-K14-01,SON,6416313.000,1867146.000,38.288,-122.506,195.100,0.408,-0.138,-0.197,-0.746,1,Deep,119,21,AguaCal,37
68,Son0084,SV-K14-02,SON,6416625.000,1866635.000,38.287,-122.505,180.800,0.416,-0.148,-0.211,-0.774,1,Deep,121,21,AguaCal,13
69,Son0087,SV-K14-06,SON,6416631.000,1866708.000,38.287,-122.505,182.800,0.436,-0.150,-0.212,-0.774,1,Deep,120,21,AguaCal,31
70,Son0088,SV-K14-04,SON,6417957.000,1866645.000,38.287,-122.501,154.960,0.329,-0.215,-0.290,-0.869,1,Shallow,122,24,AguaCal,40
71,Son0089,SV-K15-01,SON,6421524.000,1859506.000,38.267,-122.488,82.900,0.225,-0.271,-0.372,-1.107,1,Shallow,138,25,WestSide,37
72,Son0091,SV-K15-03,SON,6418837.612,1861742.241,38.273,-122.498,102.200,0.115,-0.202,-0.287,-0.978,1,Shallow,131,21,WestSide,41
73,Son0092,SV-K15-04,SON,6419899.000,1861664.000,38.273,-122.494,94.600,0.232,-0.254,-0.347,-1.049,1,Shallow,132,23,WestSide,20
74,Son0093,SV-K15-05,SON,6419955.681,1861444.794,38.273,-122.494,94.700,1.478,-0.253,-0.346,-1.053,1,Shallow,133,23,WestSide,33
75,Son0094,SV-K15-06,SON,6418835.000,1861342.000,38.272,-122.498,103.700,0.273,-0.194,-0.279,-0.977,1,Shallow,132,21,WestSide,39
76,Son0095,SV-K15-09,SON,6420273.020,1860057.788,38.269,-122.492,94.630,0.260,-0.233,-0.327,-1.056,1,Deep,136,23,WestSide,14
77,Son0096,SV-K15-10,SON,6418000.519,1859532.756,38.267,-122.500,135.120,0.569,-0.098,-0.176,-0.887,1,Deep,135,18,WestSide,20
78,Son0099,SV-L11-01,SON,6421996.000,1882777.000,38.331,-122.487,236.200,1.200,-0.381,-0.389,-0.720,1,Shallow,95,44,Highlands,28
79,Son0100,SV-L11-02,SON,6422355.766,1880770.231,38.326,-122.486,239.100,3.520,-0.440,-0.465,-0.845,0,Shallow,99,43,Highlands,13
80,Son0101,SV-L11-03,SON,6423864.403,1878504.225,38.319,-122.480,184.300,4.091,-0.478,-0.517,-0.917,0,Shallow,104,44,Highlands,23
81,Son0102,SV-L11-04,SON,6422866.000,1880245.000,38.324,-122.484,180.000,7.683,-0.456,-0.483,-0.870,0,Shallow,100,43,Highlands,7
82,Son0103,SV-L11-05,SON,6424522.000,1878846.000,38.320,-122.478,230.000,9.204,-0.481,-0.514,-0.909,0,Deep,104,45,Highlands,17
83,Son0104,SV-L11-06,SON,6422375.032,1880856.517,38.326,-122.486,260.000,3.637,-0.439,-0.463,-0.841,0,Deep,99,43,Highlands,13
84,Son0105,SV-L12-01,SON,6425206.000,1877186.000,38.316,-122.476,190.000,1.484,-0.489,-0.535,-0.939,0,Shallow,108,45,Highlands,17
85,Son0106,SV-L12-02,SON,6426801.000,1876289.000,38.313,-122.470,182.290,8.204,-0.491,-0.539,-0.944,0,Deep,111,48,Highlands,20
86,Son0107,SV-L12-04,SON,6423918.538,1875055.948,38.310,-122.480,138.200,0.387,-0.474,-0.542,-0.982,1,Shallow,111,41,CitySon,46
87,Son0108,SV-L12-05,SON,6424710.646,1875014.341,38.310,-122.477,144.890,0.486,-0.481,-0.548,-0.979,1,Shallow,112,43,CitySon,33
88,Son0111,SV-L13-01,SON,6424320.000,1872347.000,38.302,-122.479,121.700,0.477,-0.462,-0.548,-1.019,1,Deep,116,40,AguaCal,41
89,Son0112,SV-L13-02,SON,6425737.000,1870777.000,38.298,-122.474,95.000,0.204,-0.461,-0.558,-1.022,1,Deep,120,41,CitySon,52
90,Son0113,SV-L13-03,SON,6424929.995,1871089.930,38.299,-122.476,109.220,0.387,-0.457,-0.552,-1.027,1,Shallow,119,40,CitySon,8
