# Feed File: Domestic_feed_file.txt
# Spatial Section
1	64	24	#BENZIGER_1
2	64	24	#BENZIGER_2
3	64	24	#BENZIGER_3
4	64	24	#BENZIGER_4
1	166	30	#CARNEROS_1_1
3	152	48	#CARNEROS_1_2
2	166	30	#CARNEROS_2_1
4	152	48	#CARNEROS_2_2
3	166	30	#CARNEROS_3_1
5	152	48	#CARNEROS_3_2
6	152	48	#CARNEROS_4
1	181	26	#CLINECEL_1
2	181	26	#CLINECEL_2
3	181	26	#CLINECEL_3
4	181	26	#CLINECEL_4
2	81	44	#COHNWINE_1
3	81	44	#COHNWINE_2
1	172	30	#CORNERST_1
2	172	30	#CORNERST_2
1	69	25	#CSPJACKL_1
5	131	38	#DEANZAMO_1
6	131	38	#DEANZAMO_2
2	119	47	#DonaldAv_1
3	119	47	#DonaldAv_2
4	119	47	#DonaldAv_3
5	119	47	#DonaldAv_4
1	148	54	#GROSKOPF_1
3	146	68	#GUNDLACH_1
4	146	68	#GUNDLACH_2
1	72	44	#IMAGERYE_1
2	72	44	#IMAGERYE_2
2	192	69	#JACKSONF_1
3	192	69	#JACKSONF_2
4	192	69	#JACKSONF_3
4	26	42	#KENWOODV_1_1
1	22	35	#KENWOODV_1_2
5	26	42	#KENWOODV_2
6	26	42	#KENWOODV_3
2	30	40	#KUNDEEST_1
3	30	40	#KUNDEEST_2
4	30	40	#KUNDEEST_3
2	16	35	#LANDMARK_1
4	114	32	#Larbre_1
4	114	32	#Larbre_2
5	114	32	#Larbre_3
4	114	32	#Larbre_4
5	114	32	#Larbre_5
1	167	72	#NICHOLSO_1
2	167	72	#NICHOLSO_2
3	167	72	#NICHOLSO_3
4	167	72	#NICHOLSO_4
3	143	41	#PRESENTA_1
4	143	41	#PRESENTA_2
5	143	41	#PRESENTA_3
1	209	19	#RAMSGATE_1
2	209	19	#RAMSGATE_2
3	209	19	#RAMSGATE_3
4	209	19	#RAMSGATE_4
5	209	19	#RAMSGATE_5
6	209	19	#RAMSGATE_6
1	120	40	#RANCHODE_1
6	120	40	#RANCHODE_2
1	2	31	#SAINTFRA_1
2	2	31	#SAINTFRA_2
3	2	31	#SAINTFRA_3
1	163	40	#SCHELLVI_1
2	163	40	#SCHELLVI_2
3	163	40	#SCHELLVI_3
2	127	55	#SEBASTIA_1
4	127	55	#SEBASTIA_2
5	127	55	#SEBASTIA_3
1	27	37	#SMOTHERS_1
2	27	37	#SMOTHERS_2
2	138	42	#SONLODGE_1
3	138	42	#SONLODGE_2
4	138	42	#SONLODGE_3
5	138	42	#SONLODGE_4
6	138	42	#SONLODGE_5
1	110	41	#SONMISSI_1
2	110	41	#SONMISSI_2
3	110	41	#SONMISSI_3
4	110	41	#SONMISSI_4
4	140	42	#SONSEVEN_1
5	140	42	#SONSEVEN_2
6	140	42	#SONSEVEN_3
4	39	29	#SONSPRIN_1
5	39	29	#SONSPRIN_2
1	141	43	#SONVALLE_1
2	141	43	#SONVALLE_2
3	141	43	#SONVALLE_3
4	141	43	#SONVALLE_4
5	153	50	#SONWAREH_1
1	161	43	#SWWAREHO_1
2	161	43	#SWWAREHO_2
3	161	43	#SWWAREHO_3
4	161	43	#SWWAREHO_4
5	161	43	#SWWAREHO_5
1	135	25	#Scott_1
1	90	25	#SobreVis_1
4	90	25	#SobreVis_2
5	90	25	#SobreVis_3
6	90	25	#SobreVis_4
1	153	50	#THERENTA_1
2	153	50	#THERENTA_2
3	153	50	#THERENTA_3
4	153	50	#THERENTA_4
5	153	50	#THERENTA_5
4	146	53	#VINEBURG_1
5	146	53	#VINEBURG_2
6	146	53	#VINEBURG_3
1	18	35	#VINEYARD_1
2	18	35	#VINEYARD_2
3	18	35	#VINEYARD_3
4	18	35	#VINEYARD_4
5	116	32	#Verano_1
5	116	32	#Verano_2
6	116	32	#Verano_3
1	155	51	#WINECOUN_1
2	155	51	#WINECOUN_2
3	155	51	#WINECOUN_3
4	155	51	#WINECOUN_4
5	155	51	#WINECOUN_5
6	155	51	#WINECOUN_6
1	127	51	#Well1_1
2	127	51	#Well1_2
3	127	51	#Well1_3
4	127	51	#Well1_4
5	127	51	#Well1_5
1	127	50	#Well2_1
2	127	50	#Well2_2
3	127	50	#Well2_3
2	127	50	#Well3_1
3	127	50	#Well3_2
4	127	50	#Well3_3
5	127	50	#Well3_4
1	127	55	#Well4_1
2	127	55	#Well4_2
3	127	55	#Well4_3
4	127	55	#Well4_4
5	127	55	#Well4_5
6	121	42	#Well5_1
2	124	50	#Well6_1
3	124	50	#Well6_2
5	140	55	#Well7_1
6	140	55	#Well7_2
5	105	30	#golfcrse5
6	105	30	#golfcrse6

#
TEMPORAL INPUT
#
#BENZIGER_1	BENZIGER_2	BENZIGER_3	BENZIGER_4	CARNEROS_1_1	CARNEROS_1_2	CARNEROS_2_1	CARNEROS_2_2	CARNEROS_3_1	CARNEROS_3_2	CARNEROS_4	CLINECEL_1	CLINECEL_2	CLINECEL_3	CLINECEL_4	COHNWINE_1	COHNWINE_2	CORNERST_1	CORNERST_2	CSPJACKL_1	DEANZAMO_1	DEANZAMO_2	DonaldAv_1	DonaldAv_2	DonaldAv_3	DonaldAv_4	GROSKOPF_1	GUNDLACH_1	GUNDLACH_2	IMAGERYE_1	IMAGERYE_2	JACKSONF_1	JACKSONF_2	JACKSONF_3	KENWOODV_1_1	KENWOODV_1_2	KENWOODV_2	KENWOODV_3	KUNDEEST_1	KUNDEEST_2	KUNDEEST_3	LANDMARK_1	Larbre_1	Larbre_2	Larbre_3	Larbre_4	Larbre_5	NICHOLSO_1	NICHOLSO_2	NICHOLSO_3	NICHOLSO_4	PRESENTA_1	PRESENTA_2	PRESENTA_3	RAMSGATE_1	RAMSGATE_2	RAMSGATE_3	RAMSGATE_4	RAMSGATE_5	RAMSGATE_6	RANCHODE_1	RANCHODE_2	SAINTFRA_1	SAINTFRA_2	SAINTFRA_3	SCHELLVI_1	SCHELLVI_2	SCHELLVI_3	SEBASTIA_1	SEBASTIA_2	SEBASTIA_3	SMOTHERS_1	SMOTHERS_2	SONLODGE_1	SONLODGE_2	SONLODGE_3	SONLODGE_4	SONLODGE_5	SONMISSI_1	SONMISSI_2	SONMISSI_3	SONMISSI_4	SONSEVEN_1	SONSEVEN_2	SONSEVEN_3	SONSPRIN_1	SONSPRIN_2	SONVALLE_1	SONVALLE_2	SONVALLE_3	SONVALLE_4	SONWAREH_1	SWWAREHO_1	SWWAREHO_2	SWWAREHO_3	SWWAREHO_4	SWWAREHO_5	Scott_1	SobreVis_1	SobreVis_2	SobreVis_3	SobreVis_4	THERENTA_1	THERENTA_2	THERENTA_3	THERENTA_4	THERENTA_5	VINEBURG_1	VINEBURG_2	VINEBURG_3	VINEYARD_1	VINEYARD_2	VINEYARD_3	VINEYARD_4	Verano_1	Verano_2	Verano_3	WINECOUN_1	WINECOUN_2	WINECOUN_3	WINECOUN_4	WINECOUN_5	WINECOUN_6	Well1_1	Well1_2	Well1_3	Well1_4	Well1_5	Well2_1	Well2_2	Well2_3	Well3_1	Well3_2	Well3_3	Well3_4	Well4_1	Well4_2	Well4_3	Well4_4	Well4_5	Well5_1	Well6_1	Well6_2	Well7_1	Well7_2	golfcrse5	golfcrse6	sp
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-31625.7534	-90.389	#sp1
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-31625.7534	-90.389	#sp2
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-31625.7534	-100.073	#sp3
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-31625.7534	-90.389	#sp4
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-31625.7534	-111.411	#sp5
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-31625.7534	-151.730	#sp6
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-31625.7534	-197.398	#sp7
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-31625.7534	-217.002	#sp8
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-31625.7534	-218.027	#sp9
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-31625.7534	-203.754	#sp10
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-31625.7534	-156.344	#sp11
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-31625.7534	-111.411	#sp12
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-31625.7534	-90.389	#sp13
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-31625.7534	-90.389	#sp14
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-31625.7534	-100.073	#sp15
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-31625.7534	-90.389	#sp16
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-31625.7534	-111.411	#sp17
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-31625.7534	-151.730	#sp18
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-31625.7534	-197.398	#sp19
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-31625.7534	-217.002	#sp20
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-31625.7534	-218.027	#sp21
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-31625.7534	-203.754	#sp22
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-31625.7534	-156.344	#sp23
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-31625.7534	-111.411	#sp24
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-31625.7534	-90.389	#sp25
