parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,i,j,zone,x,y
drn_k_i:115_j:3_zone:9,log,factor,1101.1,10.0,10000.0,drn_k,1.0,0.0,1,115,3,9,6407132.095298302,1865656.966062652
drn_k_i:115_j:45_zone:8,log,factor,2505.65,10.0,10000.0,drn_k,1.0,0.0,1,115,45,8,6426462.697220803,1873862.3197609263
drn_k_i:115_j:52_zone:9,log,factor,1346.94,10.0,10000.0,drn_k,1.0,0.0,1,115,52,9,6429684.464207887,1875229.8787106387
drn_k_i:115_j:59_zone:9,log,factor,1223.09,10.0,10000.0,drn_k,1.0,0.0,1,115,59,9,6432906.231194971,1876597.4376603512
drn_k_i:115_j:66_zone:9,log,factor,1193.7,10.0,10000.0,drn_k,1.0,0.0,1,115,66,9,6436127.998182055,1877964.996610064
drn_k_i:115_j:73_zone:9,log,factor,1138.31,10.0,10000.0,drn_k,1.0,0.0,1,115,73,9,6439349.765169138,1879332.5555597765
drn_k_i:115_j:80_zone:9,log,factor,1199.87,10.0,10000.0,drn_k,1.0,0.0,1,115,80,9,6442571.532156222,1880700.1145094887
drn_k_i:122_j:10_zone:9,log,factor,1536.48,10.0,10000.0,drn_k,1.0,0.0,1,122,10,9,6411721.4212350985,1863802.758025281
drn_k_i:122_j:17_zone:9,log,factor,1156.44,10.0,10000.0,drn_k,1.0,0.0,1,122,17,9,6414943.188222182,1865170.316974993
drn_k_i:122_j:24_zone:6,log,factor,1275.8,10.0,10000.0,drn_k,1.0,0.0,1,122,24,6,6418164.955209265,1866537.8759247053
drn_k_i:122_j:31_zone:6,log,factor,1005.14,10.0,10000.0,drn_k,1.0,0.0,1,122,31,6,6421386.722196349,1867905.434874418
drn_k_i:122_j:38_zone:8,log,factor,1250.11,10.0,10000.0,drn_k,1.0,0.0,1,122,38,8,6424608.489183432,1869272.9938241304
drn_k_i:122_j:3_zone:9,log,factor,941.629,10.0,10000.0,drn_k,1.0,0.0,1,122,3,9,6408499.654248015,1862435.199075568
drn_k_i:122_j:45_zone:8,log,factor,1488.49,10.0,10000.0,drn_k,1.0,0.0,1,122,45,8,6427830.256170516,1870640.5527738428
drn_k_i:122_j:52_zone:9,log,factor,1400.53,10.0,10000.0,drn_k,1.0,0.0,1,122,52,9,6431052.023157599,1872008.1117235555
drn_k_i:122_j:59_zone:9,log,factor,1154.22,10.0,10000.0,drn_k,1.0,0.0,1,122,59,9,6434273.790144684,1873375.670673268
drn_k_i:122_j:66_zone:9,log,factor,1321.09,10.0,10000.0,drn_k,1.0,0.0,1,122,66,9,6437495.557131767,1874743.2296229803
drn_k_i:122_j:73_zone:9,log,factor,1408.28,10.0,10000.0,drn_k,1.0,0.0,1,122,73,9,6440717.324118851,1876110.7885726928
drn_k_i:122_j:80_zone:9,log,factor,1415.23,10.0,10000.0,drn_k,1.0,0.0,1,122,80,9,6443939.091105934,1877478.3475224047
drn_k_i:129_j:10_zone:9,log,factor,1408.71,10.0,10000.0,drn_k,1.0,0.0,1,129,10,9,6413088.980184811,1860580.9910381967
drn_k_i:129_j:17_zone:7,log,factor,858.865,10.0,10000.0,drn_k,1.0,0.0,1,129,17,7,6416310.747171895,1861948.5499879096
drn_k_i:129_j:24_zone:7,log,factor,1364.5,10.0,10000.0,drn_k,1.0,0.0,1,129,24,7,6419532.514158978,1863316.108937622
drn_k_i:129_j:31_zone:6,log,factor,1274.01,10.0,10000.0,drn_k,1.0,0.0,1,129,31,6,6422754.281146062,1864683.6678873345
drn_k_i:129_j:38_zone:8,log,factor,1300.15,10.0,10000.0,drn_k,1.0,0.0,1,129,38,8,6425976.048133145,1866051.226837047
drn_k_i:129_j:3_zone:9,log,factor,1469.94,10.0,10000.0,drn_k,1.0,0.0,1,129,3,9,6409867.213197728,1859213.4320884848
drn_k_i:129_j:45_zone:8,log,factor,1300.48,10.0,10000.0,drn_k,1.0,0.0,1,129,45,8,6429197.815120229,1867418.7857867596
drn_k_i:129_j:52_zone:8,log,factor,1290.5,10.0,10000.0,drn_k,1.0,0.0,1,129,52,8,6432419.582107312,1868786.344736472
drn_k_i:129_j:59_zone:8,log,factor,1436.98,10.0,10000.0,drn_k,1.0,0.0,1,129,59,8,6435641.349094396,1870153.903686184
