parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,i,j,zone,x,y
drn_k_i:73_j:45_zone:9,log,factor,1359.89,10.0,10000.0,drn_k,1.0,0.0,1,73,45,9,6418257.343522529,1893192.921683428
drn_k_i:73_j:52_zone:9,log,factor,1855.92,10.0,10000.0,drn_k,1.0,0.0,1,73,52,9,6421479.110509613,1894560.48063314
drn_k_i:73_j:59_zone:9,log,factor,1199.84,10.0,10000.0,drn_k,1.0,0.0,1,73,59,9,6424700.877496697,1895928.0395828525
drn_k_i:73_j:66_zone:9,log,factor,1062.71,10.0,10000.0,drn_k,1.0,0.0,1,73,66,9,6427922.6444837805,1897295.5985325647
drn_k_i:73_j:73_zone:9,log,factor,1243.31,10.0,10000.0,drn_k,1.0,0.0,1,73,73,9,6431144.411470864,1898663.1574822776
drn_k_i:80_j:10_zone:9,log,factor,883.105,10.0,10000.0,drn_k,1.0,0.0,1,80,10,9,6403516.067536823,1883133.359947782
drn_k_i:80_j:17_zone:9,log,factor,1135.91,10.0,10000.0,drn_k,1.0,0.0,1,80,17,9,6406737.834523907,1884500.9188974944
drn_k_i:80_j:24_zone:9,log,factor,1403.16,10.0,10000.0,drn_k,1.0,0.0,1,80,24,9,6409959.60151099,1885868.4778472069
drn_k_i:80_j:31_zone:5,log,factor,1368.56,10.0,10000.0,drn_k,1.0,0.0,1,80,31,5,6413181.368498074,1887236.0367969195
drn_k_i:80_j:38_zone:5,log,factor,1129.72,10.0,10000.0,drn_k,1.0,0.0,1,80,38,5,6416403.135485157,1888603.595746632
drn_k_i:80_j:3_zone:9,log,factor,1462.56,10.0,10000.0,drn_k,1.0,0.0,1,80,3,9,6400294.30054974,1881765.8009980696
drn_k_i:80_j:45_zone:9,log,factor,1323.29,10.0,10000.0,drn_k,1.0,0.0,1,80,45,9,6419624.902472241,1889971.154696344
drn_k_i:80_j:52_zone:9,log,factor,1135.26,10.0,10000.0,drn_k,1.0,0.0,1,80,52,9,6422846.669459324,1891338.7136460568
drn_k_i:80_j:59_zone:9,log,factor,1494.04,10.0,10000.0,drn_k,1.0,0.0,1,80,59,9,6426068.436446409,1892706.272595769
drn_k_i:80_j:66_zone:9,log,factor,1356.67,10.0,10000.0,drn_k,1.0,0.0,1,80,66,9,6429290.203433492,1894073.8315454817
drn_k_i:87_j:10_zone:9,log,factor,1500.4,10.0,10000.0,drn_k,1.0,0.0,1,87,10,9,6404883.626486536,1879911.5929606983
drn_k_i:87_j:17_zone:9,log,factor,1116.17,10.0,10000.0,drn_k,1.0,0.0,1,87,17,9,6408105.39347362,1881279.1519104107
drn_k_i:87_j:24_zone:6,log,factor,1090.77,10.0,10000.0,drn_k,1.0,0.0,1,87,24,6,6411327.160460703,1882646.7108601236
drn_k_i:87_j:31_zone:6,log,factor,1466.72,10.0,10000.0,drn_k,1.0,0.0,1,87,31,6,6414548.927447787,1884014.269809836
drn_k_i:87_j:38_zone:5,log,factor,833.549,10.0,10000.0,drn_k,1.0,0.0,1,87,38,5,6417770.69443487,1885381.8287595485
drn_k_i:87_j:3_zone:9,log,factor,978.609,10.0,10000.0,drn_k,1.0,0.0,1,87,3,9,6401661.859499453,1878544.0340109856
drn_k_i:87_j:45_zone:9,log,factor,1203.15,10.0,10000.0,drn_k,1.0,0.0,1,87,45,9,6420992.4614219535,1886749.3877092605
drn_k_i:87_j:52_zone:9,log,factor,1616.46,10.0,10000.0,drn_k,1.0,0.0,1,87,52,9,6424214.228409037,1888116.946658973
drn_k_i:87_j:59_zone:9,log,factor,1068.81,10.0,10000.0,drn_k,1.0,0.0,1,87,59,9,6427435.995396121,1889484.5056086853
drn_k_i:87_j:66_zone:9,log,factor,1326.41,10.0,10000.0,drn_k,1.0,0.0,1,87,66,9,6430657.762383205,1890852.064558398
drn_k_i:87_j:73_zone:9,log,factor,1598.74,10.0,10000.0,drn_k,1.0,0.0,1,87,73,9,6433879.529370288,1892219.6235081104
drn_k_i:94_j:10_zone:9,log,factor,1122.9,10.0,10000.0,drn_k,1.0,0.0,1,94,10,9,6406251.185436249,1876689.8259736148
drn_k_i:94_j:17_zone:9,log,factor,1229.17,10.0,10000.0,drn_k,1.0,0.0,1,94,17,9,6409472.952423332,1878057.3849233272
drn_k_i:94_j:24_zone:6,log,factor,1339.62,10.0,10000.0,drn_k,1.0,0.0,1,94,24,6,6412694.719410416,1879424.94387304
drn_k_i:94_j:31_zone:6,log,factor,1513.24,10.0,10000.0,drn_k,1.0,0.0,1,94,31,6,6415916.486397499,1880792.502822752
drn_k_i:94_j:38_zone:5,log,factor,816.791,10.0,10000.0,drn_k,1.0,0.0,1,94,38,5,6419138.253384583,1882160.0617724643
drn_k_i:94_j:3_zone:9,log,factor,1320.15,10.0,10000.0,drn_k,1.0,0.0,1,94,3,9,6403029.418449165,1875322.2670239024
drn_k_i:94_j:45_zone:9,log,factor,1155.26,10.0,10000.0,drn_k,1.0,0.0,1,94,45,9,6422360.020371666,1883527.620722177
drn_k_i:94_j:52_zone:9,log,factor,1208.94,10.0,10000.0,drn_k,1.0,0.0,1,94,52,9,6425581.78735875,1884895.1796718892
drn_k_i:94_j:59_zone:9,log,factor,1220.3,10.0,10000.0,drn_k,1.0,0.0,1,94,59,9,6428803.554345834,1886262.7386216016
drn_k_i:94_j:66_zone:9,log,factor,1156.99,10.0,10000.0,drn_k,1.0,0.0,1,94,66,9,6432025.321332918,1887630.2975713145
drn_k_i:94_j:73_zone:9,log,factor,1511.64,10.0,10000.0,drn_k,1.0,0.0,1,94,73,9,6435247.088320001,1888997.856521027
drn_k_i:94_j:80_zone:9,log,factor,884.447,10.0,10000.0,drn_k,1.0,0.0,1,94,80,9,6438468.8553070845,1890365.4154707396
e_side_cen,log,factor,407.731,1e-06,1000.0,hfb,1.0,0.0,1,,,,,
e_side_nor,log,factor,847.221,1e-06,1000.0,hfb,1.0,0.0,1,,,,,
e_side_so,log,factor,1000.0,1e-06,1000.0,hfb,1.0,0.0,1,,,,,
feldck_flt,log,factor,1000.0,1e-06,1000.0,hfb,1.0,0.0,1,,,,,
fieldfieswp,log,factor,0.693498,0.5,0.999,fieswp,1.0,0.0,1,,,,,
fmp_vk_i:101_j:10_zone:9,log,factor,0.000909878,0.0001,0.01,fmp_vk,1.0,0.0,1,101,10,9,6407618.744385961,1873468.0589865316
fmp_vk_i:101_j:17_zone:9,log,factor,0.00106447,0.0001,0.01,fmp_vk,1.0,0.0,1,101,17,9,6410840.511373045,1874835.617936244
fmp_vk_i:101_j:24_zone:6,log,factor,0.00101051,0.0001,0.01,fmp_vk,1.0,0.0,1,101,24,6,6414062.278360128,1876203.176885956
fmp_vk_i:101_j:31_zone:6,log,factor,0.000788928,0.0001,0.01,fmp_vk,1.0,0.0,1,101,31,6,6417284.045347212,1877570.7358356689
fmp_vk_i:101_j:38_zone:6,log,factor,0.00088006,0.0001,0.01,fmp_vk,1.0,0.0,1,101,38,6,6420505.812334295,1878938.294785381
fmp_vk_i:101_j:3_zone:9,log,factor,0.000870068,0.0001,0.01,fmp_vk,1.0,0.0,1,101,3,9,6404396.977398878,1872100.500036819
fmp_vk_i:101_j:45_zone:9,log,factor,0.00110146,0.0001,0.01,fmp_vk,1.0,0.0,1,101,45,9,6423727.579321379,1880305.8537350933
fmp_vk_i:101_j:52_zone:9,log,factor,0.000996836,0.0001,0.01,fmp_vk,1.0,0.0,1,101,52,9,6426949.346308462,1881673.412684806
fmp_vk_i:101_j:59_zone:9,log,factor,0.000821205,0.0001,0.01,fmp_vk,1.0,0.0,1,101,59,9,6430171.113295547,1883040.9716345184
fmp_vk_i:101_j:66_zone:9,log,factor,0.000935322,0.0001,0.01,fmp_vk,1.0,0.0,1,101,66,9,6433392.88028263,1884408.530584231
fmp_vk_i:101_j:73_zone:9,log,factor,0.000989534,0.0001,0.01,fmp_vk,1.0,0.0,1,101,73,9,6436614.647269714,1885776.0895339437
fmp_vk_i:101_j:80_zone:9,log,factor,0.000916612,0.0001,0.01,fmp_vk,1.0,0.0,1,101,80,9,6439836.414256797,1887143.648483656
fmp_vk_i:108_j:10_zone:9,log,factor,0.00126234,0.0001,0.01,fmp_vk,1.0,0.0,1,108,10,9,6408986.303335674,1870246.291999448
fmp_vk_i:108_j:17_zone:9,log,factor,0.000884673,0.0001,0.01,fmp_vk,1.0,0.0,1,108,17,9,6412208.070322758,1871613.8509491603
fmp_vk_i:108_j:24_zone:6,log,factor,0.00102908,0.0001,0.01,fmp_vk,1.0,0.0,1,108,24,6,6415429.837309841,1872981.4098988727
fmp_vk_i:108_j:31_zone:6,log,factor,0.00138375,0.0001,0.01,fmp_vk,1.0,0.0,1,108,31,6,6418651.604296925,1874348.9688485847
fmp_vk_i:108_j:38_zone:6,log,factor,0.00127509,0.0001,0.01,fmp_vk,1.0,0.0,1,108,38,6,6421873.371284008,1875716.5277982976
fmp_vk_i:108_j:3_zone:9,log,factor,0.0011597,0.0001,0.01,fmp_vk,1.0,0.0,1,108,3,9,6405764.536348591,1868878.7330497357
fmp_vk_i:108_j:45_zone:9,log,factor,0.000961613,0.0001,0.01,fmp_vk,1.0,0.0,1,108,45,9,6425095.138271092,1877084.08674801
fmp_vk_i:108_j:52_zone:9,log,factor,0.000939742,0.0001,0.01,fmp_vk,1.0,0.0,1,108,52,9,6428316.905258175,1878451.6456977224
fmp_vk_i:108_j:59_zone:9,log,factor,0.00102509,0.0001,0.01,fmp_vk,1.0,0.0,1,108,59,9,6431538.672245259,1879819.2046474349
fmp_vk_i:108_j:66_zone:9,log,factor,0.000998219,0.0001,0.01,fmp_vk,1.0,0.0,1,108,66,9,6434760.439232343,1881186.7635971475
fmp_vk_i:108_j:73_zone:9,log,factor,0.000881636,0.0001,0.01,fmp_vk,1.0,0.0,1,108,73,9,6437982.206219426,1882554.32254686
fmp_vk_i:108_j:80_zone:9,log,factor,0.000906952,0.0001,0.01,fmp_vk,1.0,0.0,1,108,80,9,6441203.97320651,1883921.8814965724
fmp_vk_i:10_j:10_zone:9,log,factor,0.00131166,0.0001,0.01,fmp_vk,1.0,0.0,1,10,10,9,6389840.4780397,1915351.0298186173
fmp_vk_i:10_j:17_zone:5,log,factor,0.00121453,0.0001,0.01,fmp_vk,1.0,0.0,1,10,17,5,6393062.245026783,1916718.5887683297
fmp_vk_i:10_j:24_zone:4,log,factor,0.00120208,0.0001,0.01,fmp_vk,1.0,0.0,1,10,24,4,6396284.012013867,1918086.147718042
fmp_vk_i:10_j:31_zone:4,log,factor,0.0010368,0.0001,0.01,fmp_vk,1.0,0.0,1,10,31,4,6399505.77900095,1919453.7066677543
fmp_vk_i:10_j:38_zone:9,log,factor,0.00103487,0.0001,0.01,fmp_vk,1.0,0.0,1,10,38,9,6402727.5459880335,1920821.265617467
fmp_vk_i:10_j:45_zone:9,log,factor,0.00111975,0.0001,0.01,fmp_vk,1.0,0.0,1,10,45,9,6405949.312975117,1922188.8245671797
fmp_vk_i:10_j:52_zone:9,log,factor,0.00115182,0.0001,0.01,fmp_vk,1.0,0.0,1,10,52,9,6409171.0799622005,1923556.383516892
fmp_vk_i:10_j:59_zone:9,log,factor,0.00091993,0.0001,0.01,fmp_vk,1.0,0.0,1,10,59,9,6412392.846949285,1924923.9424666043
fmp_vk_i:10_j:66_zone:9,log,factor,0.000938983,0.0001,0.01,fmp_vk,1.0,0.0,1,10,66,9,6415614.613936368,1926291.501416317
fmp_vk_i:10_j:73_zone:9,log,factor,0.00104198,0.0001,0.01,fmp_vk,1.0,0.0,1,10,73,9,6418836.380923452,1927659.0603660292
fmp_vk_i:115_j:10_zone:9,log,factor,0.000789133,0.0001,0.01,fmp_vk,1.0,0.0,1,115,10,9,6410353.862285386,1867024.525012364
fmp_vk_i:115_j:17_zone:9,log,factor,0.00105844,0.0001,0.01,fmp_vk,1.0,0.0,1,115,17,9,6413575.629272469,1868392.0839620768
fmp_vk_i:115_j:24_zone:6,log,factor,0.001157,0.0001,0.01,fmp_vk,1.0,0.0,1,115,24,6,6416797.396259553,1869759.642911789
fmp_vk_i:115_j:31_zone:6,log,factor,0.000993225,0.0001,0.01,fmp_vk,1.0,0.0,1,115,31,6,6420019.163246636,1871127.2018615012
fmp_vk_i:115_j:38_zone:6,log,factor,0.000918973,0.0001,0.01,fmp_vk,1.0,0.0,1,115,38,6,6423240.93023372,1872494.7608112136
fmp_vk_i:115_j:3_zone:9,log,factor,0.000887888,0.0001,0.01,fmp_vk,1.0,0.0,1,115,3,9,6407132.095298302,1865656.966062652
fmp_vk_i:115_j:45_zone:8,log,factor,0.000979005,0.0001,0.01,fmp_vk,1.0,0.0,1,115,45,8,6426462.697220803,1873862.3197609263
fmp_vk_i:115_j:52_zone:9,log,factor,0.000716462,0.0001,0.01,fmp_vk,1.0,0.0,1,115,52,9,6429684.464207887,1875229.8787106387
fmp_vk_i:115_j:59_zone:9,log,factor,0.00124907,0.0001,0.01,fmp_vk,1.0,0.0,1,115,59,9,6432906.231194971,1876597.4376603512
fmp_vk_i:115_j:66_zone:9,log,factor,0.00110983,0.0001,0.01,fmp_vk,1.0,0.0,1,115,66,9,6436127.998182055,1877964.996610064
fmp_vk_i:115_j:73_zone:9,log,factor,0.000938565,0.0001,0.01,fmp_vk,1.0,0.0,1,115,73,9,6439349.765169138,1879332.5555597765
fmp_vk_i:115_j:80_zone:9,log,factor,0.00081507,0.0001,0.01,fmp_vk,1.0,0.0,1,115,80,9,6442571.532156222,1880700.1145094887
fmp_vk_i:122_j:10_zone:9,log,factor,0.00108466,0.0001,0.01,fmp_vk,1.0,0.0,1,122,10,9,6411721.4212350985,1863802.758025281
fmp_vk_i:122_j:17_zone:9,log,factor,0.000950297,0.0001,0.01,fmp_vk,1.0,0.0,1,122,17,9,6414943.188222182,1865170.316974993
fmp_vk_i:122_j:24_zone:6,log,factor,0.000828764,0.0001,0.01,fmp_vk,1.0,0.0,1,122,24,6,6418164.955209265,1866537.8759247053
fmp_vk_i:122_j:31_zone:6,log,factor,0.000963333,0.0001,0.01,fmp_vk,1.0,0.0,1,122,31,6,6421386.722196349,1867905.434874418
fmp_vk_i:122_j:38_zone:8,log,factor,0.000979631,0.0001,0.01,fmp_vk,1.0,0.0,1,122,38,8,6424608.489183432,1869272.9938241304
fmp_vk_i:122_j:3_zone:9,log,factor,0.000875569,0.0001,0.01,fmp_vk,1.0,0.0,1,122,3,9,6408499.654248015,1862435.199075568
fmp_vk_i:122_j:45_zone:8,log,factor,0.000974322,0.0001,0.01,fmp_vk,1.0,0.0,1,122,45,8,6427830.256170516,1870640.5527738428
fmp_vk_i:122_j:52_zone:9,log,factor,0.00122928,0.0001,0.01,fmp_vk,1.0,0.0,1,122,52,9,6431052.023157599,1872008.1117235555
fmp_vk_i:122_j:59_zone:9,log,factor,0.000884589,0.0001,0.01,fmp_vk,1.0,0.0,1,122,59,9,6434273.790144684,1873375.670673268
fmp_vk_i:122_j:66_zone:9,log,factor,0.000874651,0.0001,0.01,fmp_vk,1.0,0.0,1,122,66,9,6437495.557131767,1874743.2296229803
fmp_vk_i:122_j:73_zone:9,log,factor,0.000974165,0.0001,0.01,fmp_vk,1.0,0.0,1,122,73,9,6440717.324118851,1876110.7885726928
fmp_vk_i:122_j:80_zone:9,log,factor,0.000872086,0.0001,0.01,fmp_vk,1.0,0.0,1,122,80,9,6443939.091105934,1877478.3475224047
fmp_vk_i:129_j:10_zone:9,log,factor,0.00121398,0.0001,0.01,fmp_vk,1.0,0.0,1,129,10,9,6413088.980184811,1860580.9910381967
fmp_vk_i:129_j:17_zone:7,log,factor,0.000928624,0.0001,0.01,fmp_vk,1.0,0.0,1,129,17,7,6416310.747171895,1861948.5499879096
fmp_vk_i:129_j:24_zone:7,log,factor,0.000952171,0.0001,0.01,fmp_vk,1.0,0.0,1,129,24,7,6419532.514158978,1863316.108937622
fmp_vk_i:129_j:31_zone:6,log,factor,0.00114185,0.0001,0.01,fmp_vk,1.0,0.0,1,129,31,6,6422754.281146062,1864683.6678873345
fmp_vk_i:129_j:38_zone:8,log,factor,0.000745198,0.0001,0.01,fmp_vk,1.0,0.0,1,129,38,8,6425976.048133145,1866051.226837047
fmp_vk_i:129_j:3_zone:9,log,factor,0.00070837,0.0001,0.01,fmp_vk,1.0,0.0,1,129,3,9,6409867.213197728,1859213.4320884848
fmp_vk_i:129_j:45_zone:8,log,factor,0.00118427,0.0001,0.01,fmp_vk,1.0,0.0,1,129,45,8,6429197.815120229,1867418.7857867596
fmp_vk_i:129_j:52_zone:8,log,factor,0.00117368,0.0001,0.01,fmp_vk,1.0,0.0,1,129,52,8,6432419.582107312,1868786.344736472
fmp_vk_i:129_j:59_zone:8,log,factor,0.00107342,0.0001,0.01,fmp_vk,1.0,0.0,1,129,59,8,6435641.349094396,1870153.903686184
fmp_vk_i:129_j:66_zone:9,log,factor,0.000946398,0.0001,0.01,fmp_vk,1.0,0.0,1,129,66,9,6438863.11608148,1871521.4626358969
fmp_vk_i:129_j:73_zone:9,log,factor,0.000903757,0.0001,0.01,fmp_vk,1.0,0.0,1,129,73,9,6442084.883068563,1872889.0215856093
fmp_vk_i:129_j:80_zone:9,log,factor,0.00100597,0.0001,0.01,fmp_vk,1.0,0.0,1,129,80,9,6445306.650055647,1874256.5805353215
fmp_vk_i:136_j:10_zone:7,log,factor,0.00107698,0.0001,0.01,fmp_vk,1.0,0.0,1,136,10,7,6414456.539134524,1857359.2240511137
fmp_vk_i:136_j:17_zone:7,log,factor,0.00132098,0.0001,0.01,fmp_vk,1.0,0.0,1,136,17,7,6417678.306121607,1858726.783000826
fmp_vk_i:136_j:24_zone:7,log,factor,0.000901704,0.0001,0.01,fmp_vk,1.0,0.0,1,136,24,7,6420900.073108691,1860094.3419505383
fmp_vk_i:136_j:31_zone:3,log,factor,0.0010105,0.0001,0.01,fmp_vk,1.0,0.0,1,136,31,3,6424121.840095774,1861461.900900251
fmp_vk_i:136_j:38_zone:3,log,factor,0.000952925,0.0001,0.01,fmp_vk,1.0,0.0,1,136,38,3,6427343.607082858,1862829.4598499637
fmp_vk_i:136_j:3_zone:9,log,factor,0.00101652,0.0001,0.01,fmp_vk,1.0,0.0,1,136,3,9,6411234.77214744,1855991.6651014013
fmp_vk_i:136_j:45_zone:3,log,factor,0.00088115,0.0001,0.01,fmp_vk,1.0,0.0,1,136,45,3,6430565.374069941,1864197.018799676
fmp_vk_i:136_j:52_zone:2,log,factor,0.000849996,0.0001,0.01,fmp_vk,1.0,0.0,1,136,52,2,6433787.141057025,1865564.5777493883
fmp_vk_i:136_j:59_zone:2,log,factor,0.000857667,0.0001,0.01,fmp_vk,1.0,0.0,1,136,59,2,6437008.908044109,1866932.1366991007
fmp_vk_i:136_j:66_zone:2,log,factor,0.00103624,0.0001,0.01,fmp_vk,1.0,0.0,1,136,66,2,6440230.675031193,1868299.6956488132
fmp_vk_i:136_j:73_zone:9,log,factor,0.00105437,0.0001,0.01,fmp_vk,1.0,0.0,1,136,73,9,6443452.442018276,1869667.2545985256
fmp_vk_i:143_j:10_zone:7,log,factor,0.00107602,0.0001,0.01,fmp_vk,1.0,0.0,1,143,10,7,6415824.098084236,1854137.45706403
fmp_vk_i:143_j:17_zone:7,log,factor,0.000826392,0.0001,0.01,fmp_vk,1.0,0.0,1,143,17,7,6419045.865071319,1855505.0160137424
fmp_vk_i:143_j:24_zone:7,log,factor,0.000824286,0.0001,0.01,fmp_vk,1.0,0.0,1,143,24,7,6422267.6320584025,1856872.5749634549
fmp_vk_i:143_j:31_zone:7,log,factor,0.000995281,0.0001,0.01,fmp_vk,1.0,0.0,1,143,31,7,6425489.399045486,1858240.1339131675
fmp_vk_i:143_j:38_zone:3,log,factor,0.00106138,0.0001,0.01,fmp_vk,1.0,0.0,1,143,38,3,6428711.1660325695,1859607.69286288
fmp_vk_i:143_j:45_zone:3,log,factor,0.000794214,0.0001,0.01,fmp_vk,1.0,0.0,1,143,45,3,6431932.933019653,1860975.251812592
fmp_vk_i:143_j:52_zone:2,log,factor,0.001234,0.0001,0.01,fmp_vk,1.0,0.0,1,143,52,2,6435154.700006736,1862342.8107623048
fmp_vk_i:143_j:59_zone:2,log,factor,0.000908748,0.0001,0.01,fmp_vk,1.0,0.0,1,143,59,2,6438376.466993821,1863710.369712017
fmp_vk_i:143_j:66_zone:2,log,factor,0.00116478,0.0001,0.01,fmp_vk,1.0,0.0,1,143,66,2,6441598.233980904,1865077.9286617297
fmp_vk_i:143_j:73_zone:9,log,factor,0.000992957,0.0001,0.01,fmp_vk,1.0,0.0,1,143,73,9,6444820.000967988,1866445.487611442
fmp_vk_i:150_j:10_zone:9,log,factor,0.00102632,0.0001,0.01,fmp_vk,1.0,0.0,1,150,10,9,6417191.657033948,1850915.6900769465
fmp_vk_i:150_j:17_zone:7,log,factor,0.000902352,0.0001,0.01,fmp_vk,1.0,0.0,1,150,17,7,6420413.424021032,1852283.249026659
fmp_vk_i:150_j:24_zone:7,log,factor,0.000998523,0.0001,0.01,fmp_vk,1.0,0.0,1,150,24,7,6423635.191008115,1853650.8079763716
fmp_vk_i:150_j:31_zone:7,log,factor,0.000955856,0.0001,0.01,fmp_vk,1.0,0.0,1,150,31,7,6426856.957995199,1855018.366926084
fmp_vk_i:150_j:38_zone:3,log,factor,0.00089469,0.0001,0.01,fmp_vk,1.0,0.0,1,150,38,3,6430078.724982282,1856385.925875796
fmp_vk_i:150_j:3_zone:9,log,factor,0.00108933,0.0001,0.01,fmp_vk,1.0,0.0,1,150,3,9,6413969.890046865,1849548.131127234
fmp_vk_i:150_j:45_zone:3,log,factor,0.000884277,0.0001,0.01,fmp_vk,1.0,0.0,1,150,45,3,6433300.491969366,1857753.484825509
fmp_vk_i:150_j:52_zone:2,log,factor,0.000802665,0.0001,0.01,fmp_vk,1.0,0.0,1,150,52,2,6436522.258956449,1859121.043775221
fmp_vk_i:150_j:59_zone:2,log,factor,0.00118789,0.0001,0.01,fmp_vk,1.0,0.0,1,150,59,2,6439744.0259435335,1860488.6027249333
fmp_vk_i:150_j:66_zone:2,log,factor,0.000996858,0.0001,0.01,fmp_vk,1.0,0.0,1,150,66,2,6442965.792930617,1861856.1616746464
fmp_vk_i:150_j:73_zone:9,log,factor,0.000862301,0.0001,0.01,fmp_vk,1.0,0.0,1,150,73,9,6446187.5599177005,1863223.7206243584
fmp_vk_i:157_j:10_zone:9,log,factor,0.000871186,0.0001,0.01,fmp_vk,1.0,0.0,1,157,10,9,6418559.215983661,1847693.923089863
fmp_vk_i:157_j:17_zone:9,log,factor,0.00129972,0.0001,0.01,fmp_vk,1.0,0.0,1,157,17,9,6421780.982970744,1849061.4820395757
fmp_vk_i:157_j:24_zone:7,log,factor,0.00107647,0.0001,0.01,fmp_vk,1.0,0.0,1,157,24,7,6425002.749957828,1850429.040989288
fmp_vk_i:157_j:31_zone:7,log,factor,0.000850659,0.0001,0.01,fmp_vk,1.0,0.0,1,157,31,7,6428224.516944911,1851796.5999390003
fmp_vk_i:157_j:38_zone:3,log,factor,0.00123968,0.0001,0.01,fmp_vk,1.0,0.0,1,157,38,3,6431446.283931995,1853164.1588887128
fmp_vk_i:157_j:3_zone:9,log,factor,0.000980839,0.0001,0.01,fmp_vk,1.0,0.0,1,157,3,9,6415337.448996577,1846326.3641401504
fmp_vk_i:157_j:45_zone:3,log,factor,0.0010396,0.0001,0.01,fmp_vk,1.0,0.0,1,157,45,3,6434668.050919078,1854531.7178384247
fmp_vk_i:157_j:52_zone:3,log,factor,0.0013291,0.0001,0.01,fmp_vk,1.0,0.0,1,157,52,3,6437889.817906162,1855899.2767881376
fmp_vk_i:157_j:59_zone:2,log,factor,0.000678787,0.0001,0.01,fmp_vk,1.0,0.0,1,157,59,2,6441111.584893246,1857266.83573785
fmp_vk_i:157_j:66_zone:2,log,factor,0.00129854,0.0001,0.01,fmp_vk,1.0,0.0,1,157,66,2,6444333.35188033,1858634.3946875627
fmp_vk_i:157_j:73_zone:9,log,factor,0.000816216,0.0001,0.01,fmp_vk,1.0,0.0,1,157,73,9,6447555.118867413,1860001.9536372751
fmp_vk_i:157_j:80_zone:9,log,factor,0.000876616,0.0001,0.01,fmp_vk,1.0,0.0,1,157,80,9,6450776.885854497,1861369.512586988
fmp_vk_i:164_j:10_zone:9,log,factor,0.000938419,0.0001,0.01,fmp_vk,1.0,0.0,1,164,10,9,6419926.774933374,1844472.15610278
fmp_vk_i:164_j:17_zone:9,log,factor,0.00109715,0.0001,0.01,fmp_vk,1.0,0.0,1,164,17,9,6423148.541920457,1845839.715052492
fmp_vk_i:164_j:24_zone:7,log,factor,0.000900349,0.0001,0.01,fmp_vk,1.0,0.0,1,164,24,7,6426370.3089075405,1847207.2740022044
fmp_vk_i:164_j:31_zone:7,log,factor,0.000922684,0.0001,0.01,fmp_vk,1.0,0.0,1,164,31,7,6429592.075894624,1848574.8329519168
fmp_vk_i:164_j:38_zone:3,log,factor,0.00104169,0.0001,0.01,fmp_vk,1.0,0.0,1,164,38,3,6432813.842881708,1849942.3919016293
fmp_vk_i:164_j:3_zone:9,log,factor,0.000896245,0.0001,0.01,fmp_vk,1.0,0.0,1,164,3,9,6416705.00794629,1843104.5971530671
fmp_vk_i:164_j:45_zone:3,log,factor,0.000983117,0.0001,0.01,fmp_vk,1.0,0.0,1,164,45,3,6436035.609868791,1851309.9508513417
fmp_vk_i:164_j:52_zone:3,log,factor,0.00105565,0.0001,0.01,fmp_vk,1.0,0.0,1,164,52,3,6439257.376855874,1852677.509801054
fmp_vk_i:164_j:59_zone:2,log,factor,0.0011585,0.0001,0.01,fmp_vk,1.0,0.0,1,164,59,2,6442479.143842959,1854045.0687507663
fmp_vk_i:164_j:66_zone:2,log,factor,0.00087015,0.0001,0.01,fmp_vk,1.0,0.0,1,164,66,2,6445700.910830042,1855412.6277004792
fmp_vk_i:164_j:73_zone:9,log,factor,0.00107223,0.0001,0.01,fmp_vk,1.0,0.0,1,164,73,9,6448922.677817126,1856780.186650192
fmp_vk_i:171_j:10_zone:9,log,factor,0.00107691,0.0001,0.01,fmp_vk,1.0,0.0,1,171,10,9,6421294.333883086,1841250.389115696
fmp_vk_i:171_j:17_zone:9,log,factor,0.00128208,0.0001,0.01,fmp_vk,1.0,0.0,1,171,17,9,6424516.10087017,1842617.9480654085
fmp_vk_i:171_j:24_zone:7,log,factor,0.00104607,0.0001,0.01,fmp_vk,1.0,0.0,1,171,24,7,6427737.867857253,1843985.5070151207
fmp_vk_i:171_j:31_zone:7,log,factor,0.00119944,0.0001,0.01,fmp_vk,1.0,0.0,1,171,31,7,6430959.634844337,1845353.065964833
fmp_vk_i:171_j:38_zone:1,log,factor,0.00106046,0.0001,0.01,fmp_vk,1.0,0.0,1,171,38,1,6434181.40183142,1846720.6249145456
fmp_vk_i:171_j:3_zone:9,log,factor,0.00120225,0.0001,0.01,fmp_vk,1.0,0.0,1,171,3,9,6418072.566896003,1839882.8301659836
fmp_vk_i:171_j:45_zone:3,log,factor,0.00102609,0.0001,0.01,fmp_vk,1.0,0.0,1,171,45,3,6437403.168818504,1848088.183864258
fmp_vk_i:171_j:52_zone:3,log,factor,0.00119402,0.0001,0.01,fmp_vk,1.0,0.0,1,171,52,3,6440624.935805587,1849455.7428139704
fmp_vk_i:171_j:59_zone:2,log,factor,0.00100674,0.0001,0.01,fmp_vk,1.0,0.0,1,171,59,2,6443846.702792672,1850823.3017636829
fmp_vk_i:171_j:66_zone:2,log,factor,0.000896697,0.0001,0.01,fmp_vk,1.0,0.0,1,171,66,2,6447068.469779755,1852190.8607133955
fmp_vk_i:171_j:73_zone:2,log,factor,0.00124827,0.0001,0.01,fmp_vk,1.0,0.0,1,171,73,2,6450290.236766839,1853558.419663108
