obsnme,obsval,weight,obgnme,observationname,oname,otype,start,term,time,usecol,standard_deviation
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_810,3.77947168975,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_811,3.50379371741,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_812,1.69341679734,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_813,0.616631622202,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_814,0.154741366551,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_815,0.448451036505,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_816,2.42497115421,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_817,2.8539529711,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_818,3.48728734887,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_819,3.24662209615,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_820,3.7934426321,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_821,2.49591468676,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_822,1.17694575758,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_823,0.434511899944,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_824,-0.00351578408964,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_825,-0.262662167447,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_826,-0.0387983200052,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_827,1.39028121072,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_828,3.71862423117,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_829,4.23725734425,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_830,3.45911487023,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_831,3.06823087376,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_832,2.78092307366,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_833,2.30569997021,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_834,0.429439086404,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_835,-0.0654544920162,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_836,272.998299436,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_837,3.4910199028,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_838,0.782707358805,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_839,5.67031188827,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_840,2.34821338444,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_841,6.73453237605,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_842,1.96682490097,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_843,4.51525195197,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_844,0.926957317005,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_845,3.83637977353,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_846,1.00924672724,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_847,5.24020517144,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_848,0.236274957381,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_849,3.78997808172,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_850,2.29463820919,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_851,3.03793044711,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_852,-0.544195273344,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_853,3.64285576751,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_854,2.10637169123,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_855,3.03813783029,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_856,-0.928776081343,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_857,3.24713094567,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_858,1.13196203889,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_859,3.42341863935,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_860,0.0195351579085,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_861,3.57913249267,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_862,0.837219488648,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_863,3.20133565553,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_864,-0.419657544289,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_865,4.26212565337,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_866,1.25534060657,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_867,4.18369019536,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_868,2.85195076973,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_869,3.56859333001,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_870,0.80085313345,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_871,4.59454093171,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_872,1.39689388529,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_873,4.42745813512,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_874,0.0964663394327,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_875,4.25627684644,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_876,2.2064890938,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_877,3.51421242795,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_878,2.33423422194,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_879,3.45748836382,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_880,2.38851556052,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_881,1.05776799731,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_882,0.424096621154,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_883,-0.0553807155617,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_884,-0.254213609961,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_885,-0.242844761883,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_886,0.391619603557,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_887,2.95244887575,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_888,4.12877578571,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_889,3.9184666508,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_890,3.66032643884,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_891,3.31056772857,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_892,3.79876130284,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_893,3.05744291203,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_894,0.796314836354,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_895,0.15341413923,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_896,-0.0368740529008,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_897,-0.0784302614211,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_898,0.940903635945,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_899,2.90261924584,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_900,4.05456642513,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_901,4.15742349884,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_902,4.71097457384,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_903,3.82969590287,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_904,3.15720139428,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_905,1.37243118543,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_906,0.692956468648,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_907,0.196997764351,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_908,-0.0236520209055,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_909,0.116475828021,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_910,2.2821611697,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_912,3.91582991432,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_913,4.40440436411,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_914,4.49968808562,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_915,4.36337983964,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_916,3.79244981141,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_917,2.13285128995,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_918,1.18937915268,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_919,0.477564275589,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_920,0.231578325553,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_921,0.965820082979,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_922,2.08359275792,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_923,2.81159361028,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_924,4.26639462725,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_925,4.54775752014,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_926,5.0648626881,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_927,5.44134606262,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_929,3.94966001728,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_930,2.01829197844,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_931,1.43108361577,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_932,0.969653963415,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_933,1.20721056196,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_934,4.22846606442,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_935,4.18886197937,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_936,4.02088277952,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_937,4.6971093266,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_938,3.74357087581,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_939,3.51398682725,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_940,1.46555051399,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_941,0.8026011619,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_942,0.331970112175,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_943,0.0541561352626,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_944,0.208265991214,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_945,2.40050028153,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_946,2.51074870132,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_947,3.8137831433,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_948,4.68552856699,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_949,4.38655280287,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_950,3.53775024745,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_951,2.89957567467,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_952,1.10896324644,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_953,0.675242590259,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_954,0.0779382378752,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_955,-0.128103421113,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_956,0.355747183991,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_957,1.99861288335,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_958,2.53639337117,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_959,2.67170448669,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_960,3.76955785917,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_961,3.63265903132,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_962,3.02546219107,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_963,2.6375643396,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_964,2.46683410266,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_965,0.163417900768,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_966,-0.389423513621,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_967,-0.64308141506,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_968,0.800233868318,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_969,1.81784477114,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_970,2.06954461097,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_971,2.66419513949,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-01_972,3.77547570035,28.46336101629318,hds,j08-01,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-02_1000,4.51696772552,28.46336101629318,hds,j08-02,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-02_1001,4.64289492928,28.46336101629318,hds,j08-02,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-02_1002,3.93841423091,28.46336101629318,hds,j08-02,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-02_1003,2.19030930899,28.46336101629318,hds,j08-02,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-02_1004,0.935435869832,28.46336101629318,hds,j08-02,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-02_1005,0.723647441376,28.46336101629318,hds,j08-02,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-02_1006,0.622842732381,28.46336101629318,hds,j08-02,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-02_1007,0.485778032065,28.46336101629318,hds,j08-02,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-02_1008,0.374075268539,28.46336101629318,hds,j08-02,hds,lst,,,,simulatedequivalent,0.5
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j08-02_1009,0.32024943236,28.46336101629318,hds,j08-02,hds,lst,,,,simulatedequivalent,0.5
