 "GAGE No.  810:  K,I,J Coord. =     1,  100,   38;  STREAM SEGMENT =    20;  REACH =     1 "
     "DATA: Time           Stage            Flow     Conductance        HeadDiff       Hyd.Grad."
     1.6730000E+03   1.1564672E+02   2.0693221E+05   1.2809371E+02  -1.3835161E+00  -6.9175806E-01
     1.7040000E+03   1.1605830E+02   2.1520522E+06   1.2809371E+02  -9.1559616E-01  -4.5779808E-01
     1.7350000E+03   1.1565194E+02   2.2077866E+05   1.2809371E+02  -1.2655630E+00  -6.3278150E-01
     1.7650000E+03   1.1564029E+02   1.9070177E+05   1.2809371E+02  -1.2226647E+00  -6.1133237E-01
     1.7960000E+03   1.1612235E+02   2.5898884E+06   1.2809371E+02  -6.8431904E-01  -3.4215952E-01
     1.8260000E+03   1.1610053E+02   2.4349815E+06   1.2809371E+02  -6.5168331E-01  -3.2584165E-01
     1.8570000E+03   1.1722376E+02   1.4445868E+07   1.2809371E+02   5.2760222E-01   2.6380111E-01
     1.8880000E+03   1.1652275E+02   6.0058583E+06   1.2809371E+02  -1.1725337E-01  -5.8626684E-02
     1.9160000E+03   1.1868991E+02   4.0534134E+07   1.2809371E+02   2.1002650E+00   1.0501325E+00
     1.9470000E+03   1.1784690E+02   2.4247948E+07   1.2809371E+02   1.3131525E+00   6.5657627E-01
     1.9770000E+03   1.1630420E+02   4.0011919E+06   1.2809371E+02  -1.7523554E-01  -8.7617770E-02
     2.0080000E+03   1.1567232E+02   2.7718132E+05   1.2809371E+02  -7.5093557E-01  -3.7546779E-01
     2.0380000E+03   1.1566800E+02   2.6462412E+05   1.2809371E+02  -7.0091625E-01  -3.5045812E-01
     2.0690000E+03   1.1570775E+02   3.8780300E+05   1.2809371E+02  -6.0505020E-01  -3.0252510E-01
     2.1000000E+03   1.1566833E+02   2.6583808E+05   1.2809371E+02  -5.8838804E-01  -2.9419402E-01
     2.1300000E+03   1.1564541E+02   2.0357666E+05   1.2809371E+02  -5.5705949E-01  -2.7852975E-01
     2.1610000E+03   1.1682725E+02   9.3212226E+06   1.2809371E+02   6.8062153E-01   3.4031076E-01
     2.1910000E+03   1.1616782E+02   2.9180450E+06   1.2809371E+02   7.5295604E-02   3.7647802E-02
     2.2220000E+03   1.1606466E+02   2.1916060E+06   1.2809371E+02   2.8014427E-02   1.4007213E-02
     2.2530000E+03   1.1577060E+02   6.1693664E+05   1.2809371E+02  -2.1016764E-01  -1.0508382E-01
     2.2820000E+03   1.1649857E+02   5.7670700E+06   1.2809371E+02   5.6993806E-01   2.8496903E-01
     2.3130000E+03   1.1609989E+02   2.4332740E+06   1.2809371E+02   2.2701187E-01   1.1350594E-01
     2.3430000E+03   1.1637855E+02   4.6452006E+06   1.2809371E+02   5.5953943E-01   2.7976971E-01
     2.3740000E+03   1.1564106E+02   1.9254852E+05   1.2809371E+02  -1.2221603E-01  -6.1108014E-02
     2.4040000E+03   1.1565265E+02   2.2253860E+05   1.2809371E+02  -5.6741084E-02  -2.8370542E-02
     2.4350000E+03   1.1564231E+02   1.9584501E+05   1.2809371E+02  -1.1451715E-02  -5.7258573E-03
     2.4660000E+03   1.1596758E+02   1.5907951E+06   1.2809371E+02   3.6935676E-01   1.8467838E-01
     2.4960000E+03   1.1587177E+02   1.0724834E+06   1.2809371E+02   3.2726236E-01   1.6363118E-01
     2.5270000E+03   1.1585748E+02   1.0014794E+06   1.2809371E+02   3.6842424E-01   1.8421212E-01
     2.5570000E+03   1.1623818E+02   3.4605221E+06   1.2809371E+02   8.0269471E-01   4.0134736E-01
     2.5880000E+03   1.1596377E+02   1.5680580E+06   1.2809371E+02   5.8362373E-01   2.9181187E-01
     2.6190000E+03   1.1644005E+02   5.2049204E+06   1.2809371E+02   1.1151078E+00   5.5755392E-01
     2.6470000E+03   1.1630583E+02   4.0115159E+06   1.2809371E+02   1.0307339E+00   5.1536697E-01
     2.6780000E+03   1.1633069E+02   4.2287007E+06   1.2809371E+02   1.1107224E+00   5.5536122E-01
     2.7080000E+03   1.1582429E+02   8.4569855E+05   1.2809371E+02   6.5769254E-01   3.2884627E-01
     2.7390000E+03   1.1608435E+02   2.3272038E+06   1.2809371E+02   9.7280305E-01   4.8640153E-01
     2.7690000E+03   1.1564120E+02   1.9279218E+05   1.2809371E+02   5.8293556E-01   2.9146778E-01
     2.8000000E+03   1.1563715E+02   1.8302357E+05   1.2809371E+02   6.3388384E-01   3.1694192E-01
     2.8310000E+03   1.1564698E+02   2.0774049E+05   1.2809371E+02   6.9864897E-01   3.4932448E-01
     2.8610000E+03   1.1610275E+02   2.4501332E+06   1.2809371E+02   1.2074634E+00   6.0373172E-01
     2.8920000E+03   1.1595180E+02   1.4978914E+06   1.2809371E+02   1.1112908E+00   5.5564538E-01
     2.9220000E+03   1.1770457E+02   2.1835991E+07   1.2809371E+02   2.9167268E+00   1.4583634E+00
     2.9530000E+03   1.1774914E+02   2.2573217E+07   1.2809371E+02   3.0156606E+00   1.5078303E+00
     2.9840000E+03   1.1899179E+02   4.7140091E+07   1.2809371E+02   4.3123756E+00   2.1561878E+00
     3.0120000E+03   1.1783299E+02   2.4002185E+07   1.2809371E+02   3.2025587E+00   1.6012794E+00
     3.0430000E+03   1.1710329E+02   1.2804132E+07   1.2809371E+02   2.5271538E+00   1.2635769E+00
     3.0730000E+03   1.1674249E+02   8.3368944E+06   1.2809371E+02   2.2188904E+00   1.1094452E+00
     3.1040000E+03   1.1568697E+02   3.2078485E+05   1.2809371E+02   1.2177549E+00   6.0887747E-01
     3.1340000E+03   1.1563352E+02   1.7393727E+05   1.2809371E+02   1.2168867E+00   6.0844337E-01
     3.1650000E+03   1.1563586E+02   1.7982691E+05   1.2809371E+02   1.2734816E+00   6.3674081E-01
     3.1960000E+03   1.1563801E+02   1.8502486E+05   1.2809371E+02   1.3298275E+00   6.6491377E-01
     3.2260000E+03   1.1603106E+02   1.9740625E+06   1.2809371E+02   1.7752007E+00   8.8760037E-01
     3.2570000E+03   1.1562631E+02   1.5666971E+05   1.2809371E+02   1.4245129E+00   7.1225647E-01
     3.2870000E+03   1.1623238E+02   3.4183673E+06   1.2809371E+02   2.0827551E+00   1.0413775E+00
     3.3180000E+03   1.1584819E+02   9.5726824E+05   1.2809371E+02   1.7524594E+00   8.7622972E-01
     3.3490000E+03   1.1838972E+02   3.4358278E+07   1.2809371E+02   4.3473611E+00   2.1736805E+00
     3.3770000E+03   1.1806440E+02   2.8119236E+07   1.2809371E+02   4.0702808E+00   2.0351404E+00
     3.4080000E+03   1.1649860E+02   5.7690032E+06   1.2809371E+02   2.5580747E+00   1.2790373E+00
     3.4380000E+03   1.1629677E+02   3.9383410E+06   1.2809371E+02   2.4080806E+00   1.2040403E+00
     3.4690000E+03   1.1595711E+02   1.5284664E+06   1.2809371E+02   2.1219536E+00   1.0609768E+00
     3.4990000E+03   1.1563150E+02   1.6892695E+05   1.2809371E+02   1.8481347E+00   9.2406733E-01
     3.5300000E+03   1.1563270E+02   1.7179243E+05   1.2809371E+02   1.9027752E+00   9.5138762E-01
     3.5610000E+03   1.1562745E+02   1.5934982E+05   1.2809371E+02   1.9508996E+00   9.7544982E-01
     3.5910000E+03   1.1567477E+02   2.8357911E+05   1.2809371E+02   2.0497946E+00   1.0248973E+00
     3.6220000E+03   1.1677699E+02   8.7333730E+06   1.2809371E+02   3.2050722E+00   1.6025361E+00
     3.6520000E+03   1.1715959E+02   1.3558609E+07   1.2809371E+02   3.6388747E+00   1.8194374E+00
     3.6830000E+03   1.1781498E+02   2.3688220E+07   1.2809371E+02   4.3022548E+00   2.1511274E+00
     3.7140000E+03   1.1799521E+02   2.6865973E+07   1.2809371E+02   4.4824856E+00   2.2412428E+00
