         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT        WEL_V1_IN       WEL_V1_OUT           GHB_IN          GHB_OUT           RCH_IN          RCH_OUT           DRT_IN          DRT_OUT           SFR_IN          SFR_OUT          MNW2_IN         MNW2_OUT     FMP_WELLS_IN    FMP_WELLS_OUT       FMP_FNR_IN      FMP_FNR_OUT         IN_OUT  PERCENT_ERROR
1971-03-01T00:00:00    16     1           31.0          486.0     5.8228201E+8     5.7851853E+8              0.0              0.0     1.0079332E+7     101093.02280        265.85144              0.0      29217.93808              0.0              0.0       5039.78697     306622.29520     144670.16747    1.8096379E-10    1.5429851E-10              0.0     1.1910610E+6     8.7666695E+6     2.1503723E+7      0.0066053   1.0981981E-9
1971-04-01T00:00:00    17     1           30.0          516.0     5.9116015E+8     5.7223572E+8              0.0              0.0              0.0     109894.09580        265.85115              0.0      29217.93808              0.0              0.0       5054.90823     168673.98880     227972.54531    1.6507934E-10    1.8496762E-10              0.0     2.7155832E+6     2.2245874E+6     1.8288671E+7      0.0159624   2.6891547E-9
1971-05-01T00:00:00    18     1           31.0          547.0     5.9528453E+8     5.6458514E+8              0.0              0.0              0.0     126773.78180        265.85085              0.0      29217.93808              0.0              0.0       5065.71719     140258.20251     265889.68888    1.1669730E-10    1.8350175E-10              0.0     3.8375236E+6     1.2606184E+6     2.7894503E+7      0.1516886   2.5420612E-8
1971-06-01T00:00:00    19     1           30.0          577.0     5.9395685E+8     5.5913346E+8              0.0              0.0              0.0     145892.43080        265.85056              0.0      29217.93808              0.0              0.0       5073.54870     111589.27221     296298.97338    2.3840974E-10    1.8609074E-10              0.0     1.7546960E+6     332561.03783     3.3095088E+7     17.5657457   2.9550546E-6
1971-07-01T00:00:00    20     1           31.0          608.0     6.2464068E+8     5.4079579E+8              0.0              0.0              0.0     154099.67180        265.85026              0.0      29217.93808              0.0              0.0       5060.26010     111065.51632     293448.93087    1.9104098E-10    2.4291884E-10              0.0     3.6655014E+6     618971.95697     8.0486303E+7      1.3258731   2.1200395E-7
1971-08-01T00:00:00    21     1           31.0          639.0     6.1681060E+8     5.4013111E+8              0.0              0.0              0.0     154529.06980        265.84995              0.0      29217.93808              0.0              0.0       5050.98859     121128.27614     290056.53105    1.3901973E-10    1.8891610E-10              0.0     3.7016720E+6     684670.79538     7.3363465E+7      3.1369001   5.0788003E-7
1971-09-01T00:00:00    22     1           30.0          669.0     6.0192977E+8     5.4253482E+8              0.0              0.0              0.0     148553.53080        265.84966              0.0      29217.93808              0.0              0.0       5049.52755     138719.62990     276454.28792    1.6438822E-10    1.9248333E-10              0.0     2.9237616E+6     804221.59759     5.7013554E+7      0.5337929   8.8537222E-8
1971-10-01T00:00:00    23     1           31.0          700.0     5.8215322E+8     5.4893850E+8              0.0              0.0              0.0     128705.11680        265.84936              0.0      29217.93808              0.0              0.0       5059.27912     147293.48089     266691.10242    1.4747977E-10    1.2161054E-10              0.0     1.0413263E+6     739838.92003     3.2689552E+7   1.6105175E-4  2.7621348E-11
1971-11-01T00:00:00    24     1           30.0          730.0     5.6432271E+8     5.5692712E+8              0.0              0.0     1.8555868E+6     109894.09580        265.84906              0.0      29217.93808              0.0              0.0       5078.85750     252933.71359     189029.53687    1.4919089E-10    2.1324675E-10              0.0              0.0     5.5532347E+6     1.4782826E+7      0.0058883   1.0294055E-9
1971-12-01T00:00:00    25     1           31.0          761.0     5.4093829E+8     5.6888478E+8              0.0              0.0     1.4465743E+7     101093.02280        265.84875              0.0      29217.93808              0.0              0.0       5107.27709     504388.62452     122404.71043    1.8331114E-10    2.1190088E-10              0.0              0.0     1.9536417E+7     6.3609368E+6      0.0044328  7.7028588E-10
